word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
s'imagine,1710-1720,1730-1740,0.597638,0.402362,147,181,
raconta,1720-1730,1730-1740,0.597541,0.402459,59,135,
feras,1710-1720,1740-1750,0.597393,0.402607,226,202,
donnai,1720-1730,1740-1750,0.597301,0.402699,144,292,
cession,1720-1730,1760-1770,0.597164,0.402836,136,265,
demeuroit,1780-1789,1789-1802,0.596661,0.403339,377,222,
caracteres,1710-1720,1720-1730,0.596551,0.403449,285,238,
datte,1770-1780,1789-1802,0.596188,0.403812,131,91,
tenait,1740-1750,1770-1780,0.595133,0.404867,66,402,
persuadée,1720-1730,1780-1789,0.595075,0.404925,66,411,
c'ess,1720-1730,1789-1802,0.594847,0.405153,55,196,
entendons,1710-1720,1780-1789,0.59479,0.40521,141,273,
l'envoya,1730-1740,1740-1750,0.593832,0.406168,87,164,
décharger,1730-1740,1780-1789,0.593775,0.406225,351,564,
peintres,1710-1720,1740-1750,0.59346,0.40654,412,250,
xxxix,1710-1720,1750-1760,0.593428,0.406572,116,246,
gardent,1710-1720,1750-1760,0.59333,0.40667,237,218,
flottes,1710-1720,1760-1770,0.593322,0.406678,99,507,
acheva,1730-1740,1780-1789,0.593196,0.406804,319,424,
épargné,1710-1720,1789-1802,0.593033,0.406967,94,448,
pontifes,1740-1750,1789-1802,0.59294,0.40706,107,321,
présentant,1720-1730,1789-1802,0.592814,0.407186,63,749,
d'anvers,1780-1789,1789-1802,0.592355,0.407645,335,194,
c'efr,1720-1730,1730-1740,0.592198,0.407802,81,67,
c'ct,1730-1740,1780-1789,0.592196,0.407804,53,165,
craignons,1700-1710,1780-1789,0.592084,0.407916,71,355,
s'embarquer,1730-1740,1750-1760,0.591955,0.408045,136,89,
j'en,1700-1710,1730-1740,0.591942,0.408058,2826,4791,
pressa,1760-1770,1789-1802,0.591635,0.408365,170,404,
trouvait,1740-1750,1750-1760,0.591331,0.408669,105,155,
demandée,1720-1730,1789-1802,0.59111,0.40889,75,444,
rencontra,1710-1720,1740-1750,0.591065,0.408935,89,477,
exquis,1700-1710,1740-1750,0.590837,0.409163,149,208,
sacrifié,1720-1730,1750-1760,0.590795,0.409205,80,285,
crût,1720-1730,1760-1770,0.590788,0.409212,91,206,
semblait,1700-1710,1740-1750,0.590782,0.409218,76,93,
voulût,1710-1720,1740-1750,0.58925,0.41075,261,411,
effrayé,1750-1760,1770-1780,0.588927,0.411073,260,603,
datée,1730-1740,1750-1760,0.588926,0.411074,62,154,
l'ont,1740-1750,1760-1770,0.588805,0.411195,1963,3123,
vécut,1740-1750,1750-1760,0.58798,0.41202,147,285,
marchoit,1710-1720,1720-1730,0.587797,0.412203,75,198,
joignit,1700-1710,1770-1780,0.587755,0.412245,129,745,
cousine,1720-1730,1730-1740,0.587677,0.412323,72,150,
affligé,1710-1720,1740-1750,0.587577,0.412423,144,234,
hoirs,1770-1780,1780-1789,0.587,0.413,161,201,
c'étoit,1700-1710,1740-1750,0.586928,0.413072,2137,6256,
entroit,1720-1730,1740-1750,0.58655,0.41345,148,270,
poflible,1710-1720,1730-1740,0.586412,0.413588,78,170,
feraient,1730-1740,1740-1750,0.585703,0.414297,73,56,
l'age,1720-1730,1760-1770,0.585639,0.414361,80,289,
détruisent,1710-1720,1730-1740,0.585016,0.414984,76,97,
cordon,1760-1770,1789-1802,0.584049,0.415951,633,542,
priant,1710-1720,1760-1770,0.584038,0.415962,154,277,
recommandé,1720-1730,1789-1802,0.583899,0.416101,103,457,
avoic,1710-1720,1789-1802,0.583738,0.416262,74,266,
renferment,1700-1710,1780-1789,0.583509,0.416491,88,878,
cabaret,1740-1750,1750-1760,0.583153,0.416847,162,147,
revivre,1700-1710,1760-1770,0.583085,0.416915,101,335,
l'ancre,1740-1750,1760-1770,0.582457,0.417543,1552,641,
prophetes,1750-1760,1760-1770,0.58225,0.41775,72,69,
s'étant,1710-1720,1730-1740,0.582215,0.417785,743,2850,
aisée,1720-1730,1789-1802,0.582031,0.417969,287,430,
demeura,1710-1720,1789-1802,0.581788,0.418212,683,376,
raconté,1710-1720,1789-1802,0.581598,0.418402,155,278,
vierges,1730-1740,1740-1750,0.58144,0.41856,114,129,
surprenante,1730-1740,1770-1780,0.580773,0.419227,174,284,
manqua,1720-1730,1760-1770,0.580004,0.419996,369,426,
revendre,1700-1710,1720-1730,0.579708,0.420292,57,71,
instamment,1730-1740,1760-1770,0.579234,0.420766,68,90,
d'adresse,1700-1710,1720-1730,0.579187,0.420813,100,103,
conduisoit,1710-1720,1750-1760,0.579176,0.420824,110,223,
retint,1750-1760,1780-1789,0.578954,0.421046,209,518,
martyrs,1710-1720,1770-1780,0.578795,0.421205,114,386,
écrivent,1710-1720,1740-1750,0.578698,0.421302,87,172,
abeilles,1720-1730,1740-1750,0.578593,0.421407,207,583,
d'épouser,1740-1750,1760-1770,0.578458,0.421542,94,151,
plût,1700-1710,1780-1789,0.578297,0.421703,217,576,
accourut,1720-1730,1730-1740,0.577894,0.422106,60,149,
hérétiques,1700-1710,1730-1740,0.577797,0.422203,95,106,
ordonnoit,1700-1710,1780-1789,0.57737,0.42263,69,431,
estiment,1700-1710,1720-1730,0.577247,0.422753,51,67,
surprit,1700-1710,1770-1780,0.577191,0.422809,156,290,
destins,1770-1780,1780-1789,0.577078,0.422922,459,577,
gand,1740-1750,1750-1760,0.5769,0.4231,259,325,
remplissent,1710-1720,1789-1802,0.575977,0.424023,127,573,
n'osait,1710-1720,1740-1750,0.575847,0.424153,141,182,
prononça,1720-1730,1740-1750,0.575609,0.424391,107,190,
touchent,1730-1740,1770-1780,0.575424,0.424576,217,719,
j'aye,1710-1720,1789-1802,0.575318,0.424682,132,176,
quoiqu'on,1700-1710,1740-1750,0.575188,0.424812,88,563,
