word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
iront,1700-1710,1710-1720,0.567144,0.432856,93,148,,0.009432,0.990568,,
décharger,1720-1730,1730-1740,0.566964,0.433036,227,351,,,,,
arriveroit,1700-1710,1789-1802,0.566848,0.433152,83,243,,0.035378,0.964622,,
croupe,1740-1750,1750-1760,0.565969,0.434031,118,76,,,,,
vilain,1700-1710,1740-1750,0.565933,0.434067,162,189,,,,,
chantant,1700-1710,1730-1740,0.565679,0.434321,60,148,,0.010872,0.989128,,
bouclier,1710-1720,1750-1760,0.565571,0.434429,418,332,,0.008605,0.991395,,
recevez,1720-1730,1789-1802,0.56527,0.43473,103,408,,0.01054,0.98946,,
vierges,1730-1740,1740-1750,0.565171,0.434829,114,129,,,,,
l'éloge,1700-1710,1720-1730,0.564688,0.435312,94,151,,,,,
liront,1740-1750,1780-1789,0.56428,0.43572,71,273,,,,,
menton,1700-1710,1760-1770,0.564199,0.435801,50,315,,0.021218,0.978782,,
démontrer,1710-1720,1720-1730,0.564041,0.435959,145,171,,0.013266,0.986734,,
nihil,1700-1710,1710-1720,0.563782,0.436218,1514,702,,,,,
conseille,1760-1770,1789-1802,0.563456,0.436544,587,503,,,,,
descendent,1700-1710,1750-1760,0.562974,0.437026,64,190,,0.023118,0.976882,,
fuient,1730-1740,1740-1750,0.562974,0.437026,108,229,,0.024004,0.975996,,
cousine,1720-1730,1730-1740,0.562941,0.437059,72,150,,0.015902,0.984098,,
pallas,1700-1710,1730-1740,0.562891,0.437109,58,267,,0.010332,0.989668,,
d'icelles,1710-1720,1760-1770,0.562525,0.437475,1061,546,,,,,
cria,1700-1710,1730-1740,0.56229,0.43771,123,147,,,,,
étudié,1700-1710,1780-1789,0.562218,0.437782,107,614,,,,,
gardent,1710-1720,1780-1789,0.56143,0.43857,237,511,,0.015385,0.984615,,
logé,1700-1710,1770-1780,0.561331,0.438669,61,292,,0.008326,0.991674,,
genes,1730-1740,1789-1802,0.561121,0.438879,452,107,,,,,
s'imagine,1710-1720,1740-1750,0.560995,0.439005,147,238,,,,,
l'ont,1700-1710,1730-1740,0.560968,0.439032,934,1770,,,,,
