period,genre_brut,macro_genre,filename,title,author,n_words,output_path
1730-1740,Traductions grecques et latines,Traductions grecques et latines,histoireromained10livy.tei,,Tite-Live (0059? av. J.-C.-0017),95949,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/histoireromained10livy.txt
1730-1740,Traductions grecques et latines,Traductions grecques et latines,modern_ant_traduction_eneide_virgile_t1.tei,,Virgile (0070-0019 av. J.-C.),81037,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/modern_ant_traduction_eneide_virgile_t1.txt
1730-1740,Traductions grecques et latines,Traductions grecques et latines,modern_ant_traduction_eneide_virgile_t1_2.tei,,Virgile (0070-0019 av. J.-C.),83707,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/modern_ant_traduction_eneide_virgile_t1_2.txt
1730-1740,Traductions grecques et latines,Traductions grecques et latines,"modern_apologie_pour_hérodote,_ou_traité_1553.tei",,"Estienne, Henri (1528?-1598)",90683,"/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/modern_apologie_pour_hérodote,_ou_traité_1553.txt"
1730-1740,Traductions grecques et latines,Traductions grecques et latines,"modern_apologie_pour_hérodote,_ou_traité_1595.tei",,"Estienne, Henri (1528?-1598)",89457,"/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Traductions grecques et latines/modern_apologie_pour_hérodote,_ou_traité_1595.txt"
1730-1740,,GENRE_VIDE,modern_c14050.176.tei,,Voltaire (1694-1778),1427,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/GENRE_VIDE/modern_c14050.176.txt
1730-1740,Romans,Romans,modern_c17030.304.tei,,Voltaire (1694-1778),939,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Romans/modern_c17030.304.txt
1730-1740,Romans,Romans,modern_c18060.319.tei,,Voltaire (1694-1778),6523,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Romans/modern_c18060.319.txt
1730-1740,Philosophie,Philosophie,modern_cphil-149.tei,,Bernard de Fontenelle (1657-1757),7092,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Philosophie/modern_cphil-149.txt
1730-1740,Philosophie,Philosophie,modern_cphil-165.tei,,Bernard de Fontenelle (1657-1757),1206,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Philosophie/modern_cphil-165.txt
1730-1740,Philosophie,Philosophie,modern_cphil-274.tei,,Bernard de Fontenelle (1657-1757),11012,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Philosophie/modern_cphil-274.txt
1730-1740,Philosophie,Philosophie,modern_cphil-291.tei,,Nicolas Fréret (1688-1749),27160,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Philosophie/modern_cphil-291.txt
1730-1740,not_known,GENRE_VIDE,modern_discours_sur_la_trag‚die_de_la_motte_tome_i_oeuvres_complŠtes__antoine_de_36.tei,,Antoine de La Motte (1672-1731),63350,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/GENRE_VIDE/modern_discours_sur_la_trag‚die_de_la_motte_tome_i_oeuvres_complŠtes__antoine_de_36.txt
1730-1740,Romans,Romans,modern_ecco_0005500101.tei,,author_04499,48112,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Romans/modern_ecco_0005500101.txt
1730-1740,,GENRE_VIDE,modern_ecco_0009400500.tei,,"Moncrif, François-Augustin Paradis de (1687-1770)",6683,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/GENRE_VIDE/modern_ecco_0009400500.txt
1730-1740,Théâtre,Théâtre,modern_ecco_0027100300.tei,,Ercole Bentivoglio (1506-1573),57112,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Théâtre/modern_ecco_0027100300.txt
1730-1740,,GENRE_VIDE,modern_ecco_0040700900.tei,,author_06098,13058,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/GENRE_VIDE/modern_ecco_0040700900.txt
1730-1740,Belles-Lettres,Belles-Lettres,modern_ecco_0041603300.tei,,Jean Baptiste Denis (1676-17..),35627,/data/corpora/mdejurquet/new_ahead_of_their_time/corpus_detailled/by_period_macrogenre_oeuvre/1730-1740/Belles-Lettres/modern_ecco_0041603300.txt
