word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
quatrieme,1710-1720,1730-1740,365,343,5682,0.7324,0.9112,0.9264
lever,1700-1710,1710-1720,1015,1273,5711,0.7315,0.0805,0.2416
signature,1730-1740,1760-1770,244,458,5647,0.7307,0.8684,0.7515
toucher,1750-1760,1760-1770,1555,2096,5706,0.7303,0.0424,0.0092
avoine,1700-1710,1760-1770,70,947,5634,0.7273,0.9539,0.9152
garnison,1720-1730,1780-1789,509,893,5673,0.7272,0.2413,0.2622
compté,1720-1730,1760-1770,340,876,5690,0.7271,0.2166,0.1869
prêter,1710-1720,1720-1730,662,462,5708,0.7249,0.4363,0.3116
fondre,1730-1740,1789-1802,1073,898,5700,0.7235,0.5525,0.5142
tiens,1720-1730,1770-1780,535,1861,5704,0.7227,0.0426,0.0512
sachant,1740-1750,1750-1760,266,273,5682,0.7216,0.185,0.0642
reconnoissance,1720-1730,1740-1750,1452,3539,5708,0.7213,0.8995,0.0377
prompt,1780-1789,1789-1802,1412,1190,5703,0.7207,0.0741,0.0544
ranger,1720-1730,1750-1760,404,375,5686,0.7195,0.6517,0.4571
sainte,1720-1730,1770-1780,3385,3864,5714,0.7183,0.8898,0.6067
visite,1710-1720,1730-1740,815,899,5682,0.7162,0.0153,0.0192
dommage,1740-1750,1750-1760,916,1230,5699,0.7153,0.6384,0.2709
présenter,1710-1720,1780-1789,403,3985,5710,0.7129,0.3946,0.5132
miséricorde,1720-1730,1760-1770,171,442,5650,0.7082,0.5103,0.3586
hier,1710-1720,1740-1750,352,815,5697,0.708,0.0448,0.2499
mere,1700-1710,1710-1720,2559,2277,5707,0.7077,0.6621,0.5128
miracles,1720-1730,1730-1740,588,548,5679,0.7072,0.1778,0.1156
cest,1700-1710,1780-1789,857,1928,5698,0.7066,0.6042,0.9658
pure,1760-1770,1770-1780,2994,3583,5716,0.7065,0.1184,0.0261
auxquels,1760-1770,1789-1802,3883,5151,5712,0.7059,0.2845,0.6693
déterminé,1700-1710,1789-1802,250,2559,5704,0.7051,0.7919,0.7182
frapper,1730-1740,1789-1802,602,2041,5700,0.7046,0.4002,0.6288
entretien,1700-1710,1760-1770,343,1144,5708,0.7035,0.4239,0.6914
suivans,1700-1710,1770-1780,287,984,5696,0.7017,0.7188,0.4077
