word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
faisois,1700-1710,1710-1720,155,156,,0.2044,,
jesus,1700-1710,1740-1750,1154,497,,0.2035,,
neveux,1760-1770,1789-1802,264,504,,0.2026,0.5393,
faille,1700-1710,1710-1720,183,212,,0.2012,,
couté,1710-1720,1720-1730,55,95,,0.2002,0.6914,
n'ait,1720-1730,1760-1770,996,2782,,0.1991,,
auxdites,1700-1710,1720-1730,70,121,,0.1991,0.947,
recevons,1720-1730,1789-1802,90,186,,0.198,,
foyons,1710-1720,1720-1730,95,109,,0.1978,,
marcha,1710-1720,1789-1802,128,490,,0.1976,,
retirerent,1710-1720,1789-1802,65,101,,0.1975,0.7739,
convenoit,1700-1710,1710-1720,138,140,,0.1967,0.8324,
contenta,1740-1750,1770-1780,441,654,,0.1965,,
n'aye,1720-1730,1770-1780,54,102,,0.196,,
prétendoit,1700-1710,1740-1750,160,479,,0.1959,,
barons,1730-1740,1750-1760,171,319,,0.1958,0.4994,
amants,1700-1710,1780-1789,148,340,,0.1948,,
j'ose,1700-1710,1760-1770,180,1077,,0.1945,,
mettrez,1720-1730,1730-1740,100,156,,0.1943,,
temns,1700-1710,1730-1740,99,138,,0.1937,0.5146,
reviennent,1700-1710,1780-1789,148,837,,0.1927,0.6507,
differentes,1710-1720,1740-1750,1237,594,,0.1924,,
m'étois,1710-1720,1720-1730,72,149,,0.1921,,
revinrent,1700-1710,1710-1720,53,86,,0.192,0.722,
allerent,1710-1720,1789-1802,79,120,,0.19,,
camarade,1720-1730,1750-1760,96,125,,0.1886,,
minerve,1700-1710,1760-1770,144,583,,0.1881,,
prendrai,1700-1710,1740-1750,101,151,,0.1869,0.5509,
ongles,1750-1760,1789-1802,249,185,,0.1868,0.673,
trouvait,1740-1750,1750-1760,105,155,,0.1862,,
prenait,1700-1710,1740-1750,101,70,,0.1857,,
devrait,1710-1720,1740-1750,64,90,,0.1857,0.5729,
païs,1720-1730,1789-1802,2935,165,,0.1854,,
m'ayant,1710-1720,1750-1760,86,232,,0.1847,,
jugeoit,1700-1710,1710-1720,88,98,,0.1844,0.7224,
fauroient,1720-1730,1789-1802,89,110,,0.1843,,
l'étoit,1710-1720,1789-1802,138,621,,0.1824,,
n'es,1730-1740,1740-1750,153,174,,0.1815,,
manqua,1730-1740,1750-1760,368,428,,0.1808,,
prendront,1700-1710,1789-1802,146,467,,0.1793,0.4324,
consenti,1710-1720,1760-1770,124,309,,0.177,,
prît,1710-1720,1720-1730,115,107,,0.1759,,
c'cft,1770-1780,1780-1789,1756,866,,0.1756,,
diane,1710-1720,1780-1789,366,1471,,0.1744,,
c'eit,1720-1730,1730-1740,311,361,,0.1743,,
n'el,1700-1710,1730-1740,97,91,,0.1736,,
m'as,1720-1730,1750-1760,179,194,,0.1732,,
donnait,1720-1730,1750-1760,153,269,,0.173,,
entendoit,1710-1720,1760-1770,123,229,,0.1729,,
rentra,1710-1720,1720-1730,72,111,,0.1728,0.4792,
contribuent,1710-1720,1720-1730,160,111,,0.1726,0.5516,
paraissait,1700-1710,1750-1760,66,124,,0.172,0.4152,
apportent,1710-1720,1760-1770,188,456,,0.1713,0.3528,
devinrent,1710-1720,1720-1730,150,186,,0.1705,0.1815,
dirons,1770-1780,1780-1789,895,927,,0.1703,,
entouré,1710-1720,1730-1740,76,281,,0.1695,0.767,
souhaitoit,1710-1720,1770-1780,73,182,,0.1692,,
xxvii,1700-1710,1710-1720,127,184,,0.1686,0.5425,
vendeur,1740-1750,1780-1789,384,891,,0.1681,,
compatriotes,1740-1750,1789-1802,280,1207,,0.1678,0.7267,
figues,1760-1770,1780-1789,228,393,,0.1678,0.3656,
n'etoit,1700-1710,1740-1750,69,175,,0.1667,,
aimait,1700-1710,1720-1730,124,93,,0.1662,,
soyons,1740-1750,1789-1802,120,669,,0.1657,,
siécle,1700-1710,1740-1750,224,1103,,0.1651,0.977,
duré,1700-1710,1789-1802,109,501,,0.1649,0.8246,
ferma,1700-1710,1720-1730,69,72,,0.1648,,
d'aucune,1700-1710,1740-1750,296,640,,0.1639,,
l'aurois,1700-1710,1710-1720,63,53,,0.163,,
agneaux,1710-1720,1720-1730,411,63,,0.1623,,
pensa,1710-1720,1730-1740,207,297,,0.1621,,
voyent,1740-1750,1780-1789,438,708,,0.1615,,
kress,1730-1740,1789-1802,105,2184,,0.16,,
souffrent,1710-1720,1789-1802,190,415,,0.16,0.7817,
