word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
voyer,1700-1710,1710-1720,75,924,,0.9886,0.9326,
rete,1730-1740,1750-1760,117,167,,0.9886,0.3675,
traitre,1700-1710,1789-1802,124,289,,0.9885,,
sant,1710-1720,1789-1802,54,781,,0.9884,0.3333,
renfort,1710-1720,1760-1770,75,332,,0.9882,0.7192,
nan,1720-1730,1740-1750,184,683,,0.9882,0.8655,
voire,1730-1740,1789-1802,252,592,,0.9881,0.7944,
gez,1710-1720,1770-1780,116,90,,0.988,,
poursuivant,1710-1720,1780-1789,96,278,,0.9879,0.8866,
d'an,1710-1720,1750-1760,256,742,,0.9879,,
d'où,1710-1720,1750-1760,3092,4764,,0.9878,,
frai,1720-1730,1760-1770,76,408,,0.9876,0.9244,
intérieurement,1710-1720,1770-1780,60,750,,0.9875,0.9132,
d'ar,1780-1789,1789-1802,1361,949,,0.9875,,
pons,1700-1710,1710-1720,119,107,,0.9874,,
marcel,1710-1720,1789-1802,235,1094,,0.9873,0.8918,
çois,1710-1720,1780-1789,69,605,,0.9872,0.6824,
files,1740-1750,1780-1789,396,588,,0.9871,0.8409,
trilles,1720-1730,1789-1802,84,83,,0.9869,0.839,
zircon,1730-1740,1740-1750,87,200,,0.9868,0.0973,
sai,1710-1720,1740-1750,502,175,,0.9867,,
sauf,1710-1720,1730-1740,57,113,,0.9866,0.9045,
calice,1730-1740,1780-1789,341,2157,,0.9865,0.9993,
laire,1740-1750,1789-1802,154,629,,0.9864,0.053,
mainte,1710-1720,1770-1780,86,188,,0.9864,0.8193,
foire,1740-1750,1780-1789,1099,1478,,0.9862,0.3044,
unifie,1740-1750,1789-1802,193,335,,0.9861,0.335,
m'imagine,1720-1730,1789-1802,94,68,,0.9861,,
emp,1740-1750,1760-1770,156,914,,0.986,0.3071,
berry,1710-1720,1730-1740,953,1102,,0.9858,0.9997,
enco,1730-1740,1789-1802,204,160,,0.9857,0.2032,
amé,1710-1720,1789-1802,281,258,,0.9857,0.995,
ramasser,1700-1710,1740-1750,72,135,,0.9856,0.1153,
revenons,1710-1720,1750-1760,128,267,,0.9855,0.6276,
comi,1710-1720,1750-1760,55,463,,0.9854,0.0804,
marquant,1700-1710,1720-1730,76,75,,0.9854,,
puissamment,1700-1710,1760-1770,52,170,,0.9853,0.9787,
feaux,1710-1720,1720-1730,790,410,,0.9852,,
sau,1710-1720,1780-1789,50,250,,0.9851,0.2261,
observez,1700-1710,1789-1802,149,416,,0.985,,
mante,1720-1730,1750-1760,94,95,,0.9848,0.7403,
surquoi,1760-1770,1780-1789,101,56,,0.9846,,
cepen,1710-1720,1780-1789,125,1167,,0.9845,0.0129,
continu,1720-1730,1760-1770,68,224,,0.9844,0.5466,
leux,1710-1720,1770-1780,76,228,,0.9843,0.3464,
passi,1700-1710,1770-1780,57,217,,0.9841,0.1175,
quint,1710-1720,1750-1760,265,626,,0.984,0.8021,
barreau,1700-1710,1760-1770,98,724,,0.984,0.9686,
gene,1720-1730,1789-1802,286,161,,0.9839,0.2213,
indi,1710-1720,1780-1789,66,680,,0.9838,0.0558,
rennes,1740-1750,1770-1780,309,570,,0.9837,,
couple,1730-1740,1750-1760,96,802,,0.9836,0.844,
naire,1700-1710,1760-1770,133,455,,0.9835,0.1921,
répons,1720-1730,1770-1780,81,101,,0.9833,,
maria,1720-1730,1760-1770,465,892,,0.9831,,
fignification,1720-1730,1740-1750,227,419,,0.9829,0.6064,
ouvra,1730-1740,1780-1789,138,220,,0.9829,,
pers,1730-1740,1770-1780,74,140,,0.9826,0.0385,
labourage,1700-1710,1720-1730,64,99,,0.9826,0.8819,
l'ef,1720-1730,1789-1802,271,635,,0.9825,,
profite,1730-1740,1740-1750,222,211,,0.9824,,
contrefaits,1780-1789,1789-1802,85,56,,0.9823,,
repent,1720-1730,1770-1780,200,154,,0.9822,,
toui,1730-1740,1740-1750,53,103,,0.9822,0.059,
imp,1750-1760,1770-1780,962,492,,0.982,0.3869,
penses,1750-1760,1789-1802,239,552,,0.9819,0.3535,
test,1710-1720,1730-1740,55,198,,0.9819,,
dru,1730-1740,1740-1750,131,53,,0.9818,0.7886,
cid,1720-1730,1770-1780,65,248,,0.9817,0.3516,
eft,1740-1750,1789-1802,2533,473,,0.9814,0.9521,
l'intention,1720-1730,1730-1740,303,541,,0.9812,,
