word,drift_1789
connétable,0.7064
soulagement,0.7058
nier,0.7057
inscriptions,0.7056
communion,0.7054
conclusion,0.7054
d'armes,0.7054
continuelle,0.7049
s'informer,0.7048
pole,0.7048
pourtant,0.7046
moyennant,0.7045
delits,0.7045
remede,0.7045
l'egard,0.7042
apprentifs,0.7042
danses,0.7041
lier,0.7041
subitement,0.7041
sommation,0.7040
continuant,0.7040
mesurer,0.7040
rompu,0.7039
appui,0.7033
peuple,0.7033
jointe,0.7030
s'éleva,0.7030
arrêter,0.7029
monument,0.7029
attentif,0.7016
entrera,0.7016
regnoit,0.7016
aspect,0.7013
m'oblige,0.7012
débiter,0.7012
raux,0.7011
faillir,0.7010
rate,0.7010
d'imprimer,0.7002
particuliere,0.6998
tenans,0.6995
actes,0.6993
italien,0.6992
ordinaires,0.6989
feurs,0.6987
unanimement,0.6984
distribuer,0.6981
nuées,0.6980
desordre,0.6972
accoutumé,0.6972
signal,0.6971
plaider,0.6970
graver,0.6968
jeûne,0.6962
tremblement,0.6960
d'albe,0.6956
l'indignation,0.6955
tabac,0.6954
chef,0.6953
pren,0.6952
table,0.6948
périls,0.6947
varier,0.6946
traites,0.6945
jusqu'ici,0.6943
d'apparence,0.6942
l'enceinte,0.6942
d'agir,0.6933
regner,0.6932
geneve,0.6931
confié,0.6930
déli,0.6925
confolation,0.6925
pitoyable,0.6924
neuve,0.6924
tous,0.6923
royale,0.6923
assés,0.6919
marches,0.6919
privation,0.6918
docile,0.6915
vôtre,0.6910
armé,0.6909
experts,0.6905
prieres,0.6903
coutume,0.6903
particulier,0.6903
paier,0.6902
prise,0.6902
connaissance,0.6900
tard,0.6898
nat,0.6898
nombre,0.6898
fions,0.6898
lif,0.6893
d'étonnement,0.6891
mule,0.6891
prompte,0.6889
griefs,0.6889
auf,0.6886
ordinaire,0.6886
scrupuleux,0.6886
dépendoit,0.6885
d'agrément,0.6884
corporelle,0.6883
honorables,0.6883
changes,0.6881
oreille,0.6881
chaire,0.6879
patentes,0.6877
pers,0.6871
habitant,0.6870
d'autriche,0.6870
habité,0.6867
desespoir,0.6865
mariages,0.6862
dort,0.6862
emprunte,0.6851
l'impression,0.6851
faute,0.6850
ciers,0.6848
l'impossibilité,0.6848
regarder,0.6848
d'empêcher,0.6846
chent,0.6843
douteux,0.6843
solides,0.6842
l'etre,0.6841
finances,0.6839
expiré,0.6838
passés,0.6836
surplus,0.6836
naire,0.6836
fout,0.6834
haut,0.6833
premierement,0.6832
commun,0.6829
audi,0.6828
profite,0.6825
sacrifices,0.6825
sceau,0.6824
solution,0.6824
sçavoir,0.6819
chirurgiens,0.6819
chez,0.6818
navale,0.6816
ly,0.6815
prospérité,0.6814
fieur,0.6812
naturels,0.6812
desormais,0.6811
salaire,0.6809
fameuse,0.6805
celer,0.6805
pardon,0.6803
instance,0.6802
culier,0.6800
d'heure,0.6799
passées,0.6798
hautes,0.6798
cadets,0.6798
étroitement,0.6798
fû,0.6796
paroisse,0.6794
vertu,0.6793
dessein,0.6792
ôc,0.6792
raisonner,0.6792
mourant,0.6791
methode,0.6790
l'avantage,0.6790
sacré,0.6790
railler,0.6789
commis,0.6788
d'air,0.6783
citoyen,0.6781
