word,drift_global,drift_moyen
vilaine,0.7589,0.6756
effe,0.7587,0.3923
tremblement,0.7587,0.7003
transport,0.7586,0.7297
l'impossibilité,0.7586,0.7257
détail,0.7585,0.7526
foret,0.7576,0.4968
mourant,0.7576,0.7020
cene,0.7575,0.4799
gardien,0.7574,0.6860
reux,0.7571,0.7492
trilles,0.7564,0.5385
neanmoins,0.7562,0.5917
bale,0.7561,0.5495
contrit,0.7557,0.5897
séparément,0.7556,0.7594
sé,0.7554,0.6581
prochaine,0.7553,0.6419
taux,0.7549,0.4157
papier,0.7547,0.6438
totalement,0.7543,0.4171
veille,0.7543,0.7210
posseder,0.7541,0.6934
fié,0.7539,0.6653
niere,0.7538,0.7334
pilier,0.7530,0.5077
plein,0.7528,0.6958
nommez,0.7527,0.3832
conf,0.7526,0.5743
pille,0.7519,0.5336
remede,0.7518,0.6300
hors,0.7518,0.7805
tion,0.7517,0.7121
tance,0.7517,0.4860
couver,0.7513,0.5283
oeuvre,0.7510,0.6558
reporter,0.7507,0.4751
yvoire,0.7504,0.5766
l'ex,0.7504,0.5590
fuf,0.7502,0.5936
pof,0.7498,0.4978
consommer,0.7492,0.6498
sal,0.7492,0.5545
ciers,0.7492,0.6525
auf,0.7491,0.5616
dignement,0.7490,0.7813
sas,0.7487,0.6341
confolation,0.7485,0.6576
d'ajouter,0.7483,0.6516
aufl,0.7482,0.6083
s'approcher,0.7482,0.6385
pies,0.7480,0.3902
l'ap,0.7477,0.6106
surplus,0.7477,0.6800
muni,0.7468,0.6957
paré,0.7465,0.7250
champ,0.7462,0.7446
reserve,0.7461,0.4751
volontaires,0.7461,0.4596
propos,0.7459,0.7683
loy,0.7456,0.4987
contrefaits,0.7454,0.5464
rufien,0.7451,0.5617
rais,0.7451,0.5467
ravoir,0.7450,0.6508
secretement,0.7448,0.6116
gueux,0.7447,0.7195
appeliez,0.7447,0.3793
enfuit,0.7444,0.5847
l'officier,0.7444,0.6181
préalablement,0.7443,0.6561
respirer,0.7442,0.6517
leger,0.7442,0.6685
négociation,0.7442,0.6555
dort,0.7437,0.6896
critique,0.7437,0.5890
habitant,0.7436,0.6371
dicta,0.7436,0.3461
d'assez,0.7435,0.6710
bailly,0.7435,0.4627
visité,0.7434,0.5194
tiques,0.7434,0.5127
l'âge,0.7434,0.7814
pié,0.7433,0.3988
regner,0.7431,0.6817
nent,0.7428,0.7349
omme,0.7427,0.5843
just,0.7427,0.4933
nime,0.7426,0.6334
chantant,0.7425,0.6324
secrettement,0.7425,0.5306
mobile,0.7423,0.6625
attraper,0.7422,0.6490
actuelle,0.7420,0.4313
augures,0.7417,0.6257
d'af,0.7415,0.6593
possession,0.7411,0.7072
l'office,0.7411,0.7029
sim,0.7410,0.5510
secondement,0.7405,0.6824
tation,0.7402,0.5223
convint,0.7402,0.5779
sole,0.7401,0.5067
excepte,0.7397,0.6389
caprice,0.7397,0.6344
supprimer,0.7395,0.3516
pitoyable,0.7394,0.7087
ainii,0.7392,0.6297
l'occupation,0.7391,0.5071
faculté,0.7391,0.7056
delivrer,0.7390,0.5665
intérieurement,0.7386,0.5412
d'accord,0.7384,0.6136
gran,0.7382,0.6978
veiller,0.7382,0.7154
repose,0.7380,0.6045
couple,0.7376,0.5189
commercial,0.7376,0.4467
chargez,0.7375,0.4046
proprement,0.7365,0.7312
énormes,0.7364,0.3489
oreille,0.7364,0.6011
navale,0.7359,0.6311
palier,0.7353,0.5102
descartes,0.7353,0.6512
cour,0.7352,0.6801
chef,0.7352,0.7242
tein,0.7351,0.5237
pardon,0.7350,0.6433
conti,0.7350,0.7258
nombre,0.7348,0.7457
railler,0.7348,0.7374
griffe,0.7348,0.6122
l'em,0.7348,0.5645
reur,0.7346,0.6203
auli,0.7346,0.4546
trans,0.7345,0.5234
surquoi,0.7345,0.7034
calife,0.7342,0.7679
mercure,0.7342,0.7059
passés,0.7341,0.6692
préfet,0.7339,0.5177
entendant,0.7338,0.6914
entiére,0.7334,0.5909
d'entreprendre,0.7333,0.6748
retardement,0.7330,0.6724
armés,0.7324,0.7036
trefle,0.7322,0.5448
exposé,0.7312,0.6837
majorité,0.7308,0.3773
fidellement,0.7306,0.5443
rançon,0.7304,0.6520
instance,0.7299,0.7027
dement,0.7298,0.4981
varier,0.7296,0.6638
ensemble,0.7295,0.6506
teneur,0.7295,0.6749
morte,0.7292,0.6559
vifs,0.7291,0.6620
cét,0.7290,0.3862
enée,0.7288,0.6367
payen,0.7285,0.6852
l'appui,0.7281,0.4315
l'invention,0.7279,0.7101
occupez,0.7278,0.3604
indifférente,0.7277,0.6957
commu,0.7273,0.5351
lier,0.7272,0.7293
d'effet,0.7270,0.7351
icy,0.7269,0.5760
d'endroits,0.7269,0.7014
poli,0.7269,0.6881
cointe,0.7268,0.6490
ruelle,0.7267,0.5345
tariere,0.7266,0.5391
désormais,0.7266,0.6860
ay,0.7265,0.4105
d'empêcher,0.7261,0.7036
affranchis,0.7260,0.4039
l'embarras,0.7258,0.7757
fice,0.7257,0.5671
devin,0.7257,0.5924
ajoutez,0.7257,0.7208
régulier,0.7257,0.3933
aisez,0.7255,0.5206
signal,0.7254,0.6920
noit,0.7253,0.7125
d'air,0.7252,0.6441
royaux,0.7252,0.6131
pouf,0.7251,0.5961
qu'ily,0.7251,0.8073
forme,0.7249,0.6682
l'acceptation,0.7249,0.6034
genre,0.7248,0.6883
exercée,0.7248,0.7044
souhaiter,0.7247,0.7015
mmne,0.7246,0.6085
civil,0.7245,0.6738
élement,0.7244,0.5318
propres,0.7240,0.6323
usances,0.7238,0.6606
touchez,0.7237,0.4229
chanoines,0.7233,0.7062
l'ordre,0.7233,0.5811
l'impuissance,0.7232,0.7253
troi,0.7232,0.5605
permettons,0.7231,0.6085
voy,0.7227,0.5454
teurs,0.7227,0.7183
formel,0.7226,0.4187
commises,0.7224,0.5687
salaire,0.7223,0.6563
pole,0.7222,0.6288
dépôt,0.7221,0.7254
viaire,0.7221,0.5597
légitimes,0.7213,0.7151
gué,0.7212,0.5950
paya,0.7210,0.6695
préter,0.7209,0.5006
cous,0.7208,0.5609
suivra,0.7208,0.6357
l'as,0.7208,0.4656
présents,0.7206,0.6891
lyre,0.7205,0.6258
paroisse,0.7204,0.7384
disant,0.7204,0.6135
mariés,0.7204,0.7069
s'exprimer,0.7204,0.6100
bis,0.7202,0.5135
vé,0.7196,0.4882
consequent,0.7193,0.6625
fie,0.7192,0.6269
composition,0.7192,0.6476
dè,0.7191,0.6637
d'ordre,0.7190,0.6540
tacher,0.7188,0.7908
prescrit,0.7185,0.6672
mainte,0.7185,0.6683
premierement,0.7180,0.5620
raisonner,0.7176,0.6958
tez,0.7175,0.4076
gâté,0.7175,0.6689
caufe,0.7172,0.5237
insensé,0.7170,0.6387
tran,0.7170,0.5855
parenté,0.7170,0.8001
porteurs,0.7170,0.6420
chirurgiens,0.7169,0.6961
seu,0.7167,0.4860
sus,0.7162,0.5334
dio,0.7161,0.4641
confus,0.7161,0.6902
retrait,0.7160,0.6156
és,0.7158,0.3909
pourvue,0.7155,0.4005
interest,0.7153,0.4802
auifi,0.7151,0.5885
entrera,0.7150,0.7511
faute,0.7150,0.7602
fleuri,0.7150,0.4719
l'egard,0.7149,0.6413
généralité,0.7144,0.6939
d'esprits,0.7144,0.4002
rep,0.7140,0.5982
oire,0.7139,0.4435
trésor,0.7138,0.6680
elle,0.7135,0.6047
etranger,0.7134,0.6476
coutume,0.7134,0.7074
reaux,0.7131,0.5131
sujet,0.7129,0.6746
gez,0.7127,0.5038
def,0.7125,0.5500
clergé,0.7125,0.6786
deçà,0.7122,0.6799
royauté,0.7121,0.6208
succés,0.7117,0.7579
notables,0.7117,0.3622
dem,0.7116,0.4688
publie,0.7116,0.6919
suffi,0.7115,0.7101
fatigue,0.7114,0.6293
l'intérieur,0.7113,0.3416
chanté,0.7112,0.6561
finance,0.7111,0.6771
allier,0.7110,0.4784
sub,0.7110,0.4966
iij,0.7109,0.5615
adoré,0.7108,0.6529
peupler,0.7105,0.6297
anti,0.7105,0.5395
ménage,0.7105,0.7409
qu'aux,0.7104,0.7456
milord,0.7104,0.5215
hector,0.7096,0.5131
témoin,0.7095,0.7975
bayes,0.7090,0.4520
triment,0.7090,0.5693
satis,0.7089,0.3722
allure,0.7089,0.5017
experts,0.7088,0.6947
bout,0.7088,0.6521
cheres,0.7087,0.6139
nui,0.7086,0.5347
oubli,0.7086,0.6289
lage,0.7086,0.5745
services,0.7085,0.5197
traîner,0.7085,0.6521
criminelle,0.7083,0.6054
sterling,0.7082,0.6311
indemnité,0.7082,0.6156
continuation,0.7081,0.7032
hor,0.7078,0.5231
ancien,0.7076,0.6488
nat,0.7075,0.4832
pé,0.7074,0.5725
taire,0.7073,0.7138
dau,0.7070,0.5143
d'honneurs,0.7069,0.6854
neutralité,0.7066,0.6738
suiffe,0.7064,0.4658
varron,0.7063,0.5789
patentes,0.7062,0.5813
jointe,0.7061,0.6859
glife,0.7057,0.6566
particulier,0.7056,0.7134
combattant,0.7056,0.7298
l'épée,0.7056,0.6305
quoi,0.7056,0.5465
repre,0.7055,0.6260
revenons,0.7052,0.6771
hormis,0.7051,0.6993
seur,0.7051,0.5546
réels,0.7048,0.6011
malin,0.7046,0.6570
privation,0.7046,0.6334
préferer,0.7044,0.5478
fieur,0.7043,0.6286
l'espace,0.7042,0.7694
marches,0.7039,0.6471
souverainement,0.7037,0.7292
para,0.7036,0.5848
contrefaire,0.7035,0.6702
chaste,0.7033,0.4830
songe,0.7033,0.7259
apparence,0.7032,0.6992
louis,0.7031,0.6591
chaffer,0.7030,0.5300
baiser,0.7029,0.6651
accomplis,0.7028,0.6944
nement,0.7027,0.5566
docile,0.7025,0.6841
souffre,0.7025,0.6278
pluralité,0.7025,0.6749
tique,0.7023,0.5627
lavoir,0.7023,0.7320
parisis,0.7022,0.5938
l'affront,0.7020,0.7020
familier,0.7018,0.6368
carreaux,0.7017,0.5225
tranquilité,0.7016,0.6752
réglés,0.7015,0.4099
regnoit,0.7015,0.6384
trancher,0.7014,0.6738
librairie,0.7010,0.6863
foli,0.7009,0.5435
l'ob,0.7008,0.6178
l'é,0.7008,0.5721
una,0.7007,0.4639
d'hercule,0.7006,0.6110
d'attaquer,0.7005,0.5983
rôle,0.7004,0.5897
voeu,0.7003,0.2972
informe,0.7002,0.4977
lions,0.7002,0.4495
quils,0.6999,0.6505
s'ap,0.6999,0.5884
d'âge,0.6997,0.8004
rempart,0.6993,0.5417
temoins,0.6993,0.6526
accoutumé,0.6992,0.6249
secrète,0.6992,0.6793
d'especes,0.6992,0.6907
purger,0.6992,0.6152
ordonnez,0.6991,0.4521
laitier,0.6991,0.5679
sant,0.6990,0.6344
flamand,0.6990,0.5023
finalement,0.6990,0.7441
jusqu'ici,0.6989,0.6531
garde,0.6989,0.6685
consequence,0.6987,0.7002
outrée,0.6987,0.6452
voyant,0.6987,0.6786
miens,0.6982,0.6672
noble,0.6982,0.6060
mode,0.6981,0.3835
sf,0.6980,0.4138
timons,0.6980,0.5479
traite,0.6979,0.6690
sain,0.6977,0.7726
marc,0.6975,0.6863
avenir,0.6974,0.3244
encourage,0.6974,0.3882
intimes,0.6974,0.7062
lig,0.6974,0.6276
gilles,0.6971,0.4753
l'emporta,0.6967,0.6765
potion,0.6966,0.5248
contraire,0.6966,0.7168
paternelle,0.6964,0.6446
réponde,0.6964,0.6680
paisiblement,0.6964,0.5294
fermes,0.6963,0.6387
l'unique,0.6963,0.5812
leut,0.6962,0.6818
séance,0.6961,0.6883
trempe,0.6960,0.6455
mérites,0.6960,0.6457
milliers,0.6959,0.6447
mouvoir,0.6959,0.6056
gence,0.6959,0.5027
