word,1700-1710→1710-1720,1710-1720→1720-1730,1720-1730→1730-1740,1730-1740→1740-1750,1740-1750→1750-1760,1750-1760→1760-1770,1760-1770→1770-1780,1770-1780→1780-1789,1780-1789→1789-1802
conserva,0.0039,0.0049,0.0071,0.0070,0.0069,0.0067,0.0089,0.0077,0.0058
conservant,0.0056,0.0071,0.0095,0.0086,0.0140,0.0134,0.0143,0.0116,0.0124
conservation,0.0056,0.0045,0.0045,0.0042,0.0065,0.0064,0.0047,0.0044,0.0053
conserve,0.0034,0.0046,0.0048,0.0052,0.0051,0.0059,0.0061,0.0060,0.0038
conservent,0.0041,0.0036,0.0052,0.0071,0.0065,0.0080,0.0081,0.0070,0.0046
conserver,0.0039,0.0036,0.0040,0.0039,0.0045,0.0049,0.0035,0.0030,0.0042
conservez,0.0086,0.0034,0.0050,0.0028,0.0040,0.0047,0.0055,0.0081,0.0083
conservé,0.0043,0.0033,0.0047,0.0035,0.0041,0.0035,0.0040,0.0034,0.0027
conservée,0.0098,0.0042,0.0143,0.0061,0.0069,0.0061,0.0082,0.0068,0.0041
consi,0.0094,0.0113,0.0090,0.0086,0.0179,0.0237,0.0153,0.0135,0.0114
considence,0.0079,0.0035,0.0078,0.0128,0.0112,0.0109,0.0102,0.0143,0.0069
considerable,0.0030,0.0029,0.0024,0.0019,0.0015,0.0015,0.0018,0.0025,0.0016
considerables,0.0021,0.0032,0.0030,0.0016,0.0011,0.0009,0.0012,0.0018,0.0011
consideration,0.0048,0.0032,0.0033,0.0021,0.0018,0.0011,0.0014,0.0018,0.0049
considere,0.0019,0.0023,0.0023,0.0030,0.0041,0.0055,0.0051,0.0045,0.0023
considerer,0.0023,0.0023,0.0022,0.0017,0.0017,0.0015,0.0009,0.0023,0.0008
consideré,0.0135,0.0049,0.0034,0.0027,0.0019,0.0021,0.0008,0.0024,0.0008
considérable,0.0037,0.0039,0.0044,0.0044,0.0047,0.0063,0.0042,0.0040,0.0032
considérablement,0.0060,0.0074,0.0079,0.0101,0.0133,0.0180,0.0097,0.0083,0.0056
considérables,0.0044,0.0041,0.0052,0.0053,0.0048,0.0060,0.0048,0.0047,0.0036
considération,0.0065,0.0042,0.0060,0.0050,0.0080,0.0071,0.0069,0.0064,0.0143
considérations,0.0087,0.0039,0.0037,0.0047,0.0082,0.0105,0.0081,0.0090,0.0075
considérer,0.0045,0.0044,0.0054,0.0070,0.0093,0.0118,0.0077,0.0064,0.0064
considéré,0.0032,0.0018,0.0032,0.0040,0.0112,0.0115,0.0079,0.0089,0.0080
consiscation,0.0077,0.0015,0.0060,0.0036,0.0042,0.0041,0.0019,0.0033,0.0010
consistance,0.0066,0.0089,0.0050,0.0060,0.0115,0.0290,0.0159,0.0120,0.0074
consiste,0.0017,0.0022,0.0027,0.0035,0.0045,0.0056,0.0049,0.0048,0.0050
consistent,0.0020,0.0031,0.0027,0.0066,0.0049,0.0089,0.0054,0.0071,0.0083
consolation,0.0041,0.0036,0.0065,0.0059,0.0076,0.0056,0.0084,0.0090,0.0071
console,0.0044,0.0036,0.0086,0.0059,0.0093,0.0124,0.0125,0.0183,0.0099
consoler,0.0029,0.0027,0.0048,0.0057,0.0053,0.0051,0.0059,0.0081,0.0052
consommation,0.0056,0.0045,0.0039,0.0035,0.0081,0.0118,0.0065,0.0066,0.0044
consomme,0.0150,0.0147,0.0065,0.0067,0.0178,0.0241,0.0185,0.0095,0.0070
consommer,0.0059,0.0079,0.0076,0.0090,0.0167,0.0272,0.0177,0.0116,0.0115
consommé,0.0046,0.0044,0.0054,0.0039,0.0120,0.0147,0.0112,0.0090,0.0077
conspiration,0.0054,0.0030,0.0058,0.0050,0.0043,0.0055,0.0076,0.0028,0.0136
constamment,0.0117,0.0074,0.0092,0.0179,0.0198,0.0215,0.0171,0.0150,0.0150
constance,0.0043,0.0046,0.0090,0.0077,0.0084,0.0054,0.0069,0.0095,0.0072
constant,0.0052,0.0051,0.0058,0.0043,0.0068,0.0082,0.0078,0.0081,0.0076
constante,0.0052,0.0035,0.0053,0.0047,0.0079,0.0096,0.0103,0.0085,0.0104
constantin,0.0066,0.0033,0.0062,0.0037,0.0096,0.0057,0.0068,0.0048,0.0031
constantinople,0.0014,0.0017,0.0022,0.0024,0.0044,0.0048,0.0049,0.0059,0.0039
consternation,0.0035,0.0018,0.0070,0.0069,0.0037,0.0050,0.0061,0.0059,0.0063
constitution,0.0052,0.0027,0.0022,0.0039,0.0065,0.0082,0.0098,0.0088,0.0117
constitutions,0.0035,0.0023,0.0042,0.0041,0.0062,0.0045,0.0069,0.0078,0.0094
construction,0.0220,0.0137,0.0102,0.0124,0.0145,0.0190,0.0101,0.0109,0.0068
construire,0.0112,0.0052,0.0061,0.0066,0.0059,0.0076,0.0064,0.0064,0.0037
construit,0.0109,0.0075,0.0085,0.0104,0.0072,0.0114,0.0091,0.0089,0.0072
consul,0.0088,0.0045,0.0052,0.0070,0.0057,0.0058,0.0069,0.0066,0.0089
consulat,0.0022,0.0020,0.0012,0.0012,0.0022,0.0033,0.0047,0.0039,0.0034
consuls,0.0057,0.0025,0.0023,0.0062,0.0048,0.0070,0.0053,0.0040,0.0043
consulter,0.0043,0.0032,0.0031,0.0062,0.0061,0.0065,0.0065,0.0065,0.0048
consume,0.0043,0.0044,0.0043,0.0051,0.0083,0.0120,0.0102,0.0079,0.0063
conséquence,0.0050,0.0047,0.0059,0.0054,0.0056,0.0061,0.0045,0.0049,0.0048
conséquences,0.0081,0.0075,0.0065,0.0133,0.0156,0.0157,0.0115,0.0087,0.0083
conséquent,0.0042,0.0047,0.0045,0.0049,0.0059,0.0066,0.0047,0.0043,0.0046
cont,0.0073,0.0078,0.0069,0.0118,0.0144,0.0132,0.0155,0.0175,0.0182
conta,0.0035,0.0018,0.0027,0.0039,0.0018,0.0036,0.0057,0.0064,0.0042
contagion,0.0342,0.0194,0.0152,0.0141,0.0111,0.0123,0.0171,0.0107,0.0078
conte,0.0041,0.0033,0.0049,0.0057,0.0062,0.0069,0.0084,0.0082,0.0058
contenance,0.0056,0.0041,0.0076,0.0074,0.0098,0.0080,0.0057,0.0072,0.0045
contenant,0.0052,0.0052,0.0053,0.0057,0.0058,0.0068,0.0079,0.0078,0.0080
contenir,0.0026,0.0029,0.0037,0.0036,0.0037,0.0045,0.0042,0.0037,0.0037
contenoit,0.0039,0.0035,0.0085,0.0108,0.0087,0.0105,0.0092,0.0103,0.0055
contens,0.0028,0.0033,0.0060,0.0052,0.0044,0.0037,0.0064,0.0072,0.0045
content,0.0027,0.0026,0.0033,0.0028,0.0029,0.0029,0.0035,0.0046,0.0033
contenta,0.0025,0.0036,0.0063,0.0043,0.0030,0.0037,0.0050,0.0039,0.0034
contente,0.0043,0.0035,0.0055,0.0051,0.0054,0.0046,0.0049,0.0066,0.0044
contentement,0.0052,0.0061,0.0055,0.0058,0.0075,0.0059,0.0064,0.0061,0.0050
contentent,0.0036,0.0035,0.0037,0.0046,0.0035,0.0061,0.0069,0.0055,0.0028
contenter,0.0043,0.0039,0.0054,0.0047,0.0063,0.0064,0.0064,0.0055,0.0046
contenterai,0.0039,0.0030,0.0042,0.0027,0.0042,0.0046,0.0040,0.0039,0.0026
contentez,0.0030,0.0033,0.0034,0.0036,0.0031,0.0029,0.0042,0.0054,0.0026
contents,0.0058,0.0033,0.0055,0.0030,0.0039,0.0073,0.0108,0.0078,0.0067
contenté,0.0026,0.0025,0.0046,0.0022,0.0026,0.0034,0.0033,0.0036,0.0018
contenu,0.0039,0.0029,0.0023,0.0030,0.0026,0.0027,0.0029,0.0027,0.0024
contenue,0.0035,0.0028,0.0044,0.0078,0.0055,0.0092,0.0083,0.0065,0.0036
contenues,0.0039,0.0036,0.0025,0.0038,0.0032,0.0039,0.0034,0.0047,0.0028
contenus,0.0026,0.0022,0.0030,0.0040,0.0045,0.0039,0.0042,0.0057,0.0044
conter,0.0036,0.0031,0.0034,0.0035,0.0067,0.0082,0.0082,0.0065,0.0053
contes,0.0015,0.0014,0.0030,0.0030,0.0024,0.0038,0.0042,0.0044,0.0025
contestation,0.0033,0.0022,0.0031,0.0018,0.0023,0.0038,0.0036,0.0042,0.0027
contestations,0.0059,0.0034,0.0042,0.0023,0.0036,0.0062,0.0052,0.0044,0.0032
conti,0.0028,0.0018,0.0024,0.0037,0.0038,0.0038,0.0055,0.0052,0.0039
contiendra,0.0146,0.0080,0.0096,0.0080,0.0089,0.0099,0.0125,0.0131,0.0092
contiennent,0.0049,0.0045,0.0051,0.0048,0.0054,0.0061,0.0064,0.0073,0.0044
contient,0.0027,0.0027,0.0031,0.0043,0.0036,0.0047,0.0054,0.0051,0.0041
contin,0.0066,0.0116,0.0069,0.0077,0.0110,0.0148,0.0122,0.0147,0.0129
continence,0.0106,0.0041,0.0077,0.0046,0.0076,0.0125,0.0096,0.0141,0.0042
continent,0.0067,0.0051,0.0083,0.0154,0.0112,0.0115,0.0112,0.0083,0.0056
continu,0.0069,0.0032,0.0065,0.0065,0.0125,0.0179,0.0173,0.0195,0.0110
continua,0.0023,0.0021,0.0042,0.0046,0.0033,0.0039,0.0048,0.0049,0.0039
continuant,0.0049,0.0046,0.0062,0.0065,0.0047,0.0061,0.0062,0.0059,0.0047
continuation,0.0041,0.0041,0.0035,0.0058,0.0063,0.0093,0.0058,0.0057,0.0056
continue,0.0054,0.0041,0.0060,0.0065,0.0058,0.0061,0.0065,0.0052,0.0047
continuel,0.0071,0.0061,0.0064,0.0078,0.0072,0.0076,0.0065,0.0059,0.0042
continuelle,0.0050,0.0040,0.0048,0.0064,0.0059,0.0055,0.0067,0.0051,0.0048
continuellement,0.0071,0.0072,0.0077,0.0094,0.0090,0.0088,0.0086,0.0054,0.0072
continuelles,0.0060,0.0050,0.0086,0.0082,0.0072,0.0068,0.0082,0.0059,0.0045
continuels,0.0048,0.0049,0.0079,0.0096,0.0101,0.0097,0.0120,0.0074,0.0066
continuent,0.0090,0.0083,0.0081,0.0123,0.0083,0.0100,0.0109,0.0106,0.0061
continuer,0.0048,0.0034,0.0043,0.0049,0.0036,0.0046,0.0036,0.0037,0.0043
continuez,0.0051,0.0037,0.0039,0.0057,0.0066,0.0062,0.0074,0.0084,0.0056
continuoit,0.0040,0.0041,0.0098,0.0095,0.0053,0.0061,0.0092,0.0064,0.0041
continué,0.0036,0.0036,0.0054,0.0040,0.0045,0.0041,0.0056,0.0047,0.0037
continuée,0.0050,0.0042,0.0103,0.0040,0.0069,0.0066,0.0078,0.0063,0.0045
contr,0.0073,0.0074,0.0134,0.0067,0.0082,0.0066,0.0123,0.0207,0.0152
contr'eux,0.0096,0.0066,0.0128,0.0099,0.0056,0.0068,0.0074,0.0086,0.0068
contra,0.0038,0.0055,0.0069,0.0041,0.0046,0.0045,0.0061,0.0053,0.0040
contracter,0.0047,0.0030,0.0072,0.0073,0.0104,0.0157,0.0159,0.0107,0.0101
contradiction,0.0059,0.0055,0.0077,0.0076,0.0095,0.0152,0.0151,0.0108,0.0096
contradictions,0.0018,0.0022,0.0028,0.0038,0.0093,0.0098,0.0131,0.0077,0.0066
contrai,0.0095,0.0069,0.0129,0.0156,0.0121,0.0115,0.0098,0.0119,0.0056
contraignit,0.0061,0.0041,0.0079,0.0034,0.0051,0.0041,0.0045,0.0064,0.0021
contraindre,0.0053,0.0034,0.0054,0.0048,0.0061,0.0042,0.0058,0.0047,0.0050
contraint,0.0035,0.0028,0.0036,0.0025,0.0030,0.0027,0.0032,0.0036,0.0026
contrainte,0.0058,0.0043,0.0061,0.0054,0.0072,0.0084,0.0075,0.0063,0.0061
contraintes,0.0129,0.0057,0.0068,0.0039,0.0057,0.0094,0.0068,0.0092,0.0066
contraints,0.0063,0.0036,0.0037,0.0036,0.0033,0.0029,0.0027,0.0050,0.0023
contraire,0.0039,0.0041,0.0036,0.0040,0.0041,0.0047,0.0046,0.0040,0.0044
contraires,0.0033,0.0027,0.0025,0.0027,0.0033,0.0039,0.0038,0.0036,0.0042
contrat,0.0021,0.0016,0.0021,0.0023,0.0031,0.0040,0.0030,0.0039,0.0033
contrats,0.0033,0.0014,0.0023,0.0024,0.0023,0.0042,0.0028,0.0049,0.0033
contravention,0.0097,0.0039,0.0050,0.0031,0.0040,0.0041,0.0022,0.0040,0.0034
contraventions,0.0127,0.0026,0.0040,0.0024,0.0032,0.0040,0.0023,0.0045,0.0030
contre,0.0020,0.0021,0.0029,0.0020,0.0021,0.0023,0.0030,0.0024,0.0034
contredire,0.0094,0.0049,0.0081,0.0082,0.0099,0.0124,0.0121,0.0126,0.0077
contredit,0.0033,0.0032,0.0034,0.0031,0.0055,0.0068,0.0066,0.0055,0.0044
contredits,0.0147,0.0025,0.0011,0.0027,0.0018,0.0016,0.0020,0.0015,0.0012
contrefaire,0.0046,0.0045,0.0051,0.0037,0.0034,0.0037,0.0053,0.0050,0.0042
contrefaits,0.0036,0.0029,0.0033,0.0012,0.0011,0.0019,0.0019,0.0019,0.0009
contrevenans,0.0060,0.0020,0.0025,0.0014,0.0020,0.0020,0.0012,0.0018,0.0004
contrevenir,0.0059,0.0021,0.0015,0.0023,0.0017,0.0019,0.0012,0.0019,0.0007
contrevenu,0.0147,0.0042,0.0053,0.0036,0.0035,0.0037,0.0014,0.0032,0.0011
contribue,0.0029,0.0029,0.0024,0.0034,0.0051,0.0077,0.0066,0.0050,0.0039
contribuent,0.0034,0.0018,0.0025,0.0029,0.0054,0.0093,0.0072,0.0060,0.0033
contribuer,0.0040,0.0032,0.0031,0.0037,0.0056,0.0066,0.0049,0.0050,0.0044
