# Mots stables — candidats local anchors
# format: mot | drift_moyen | drift_global

fous	0.0020	0.0810
mot	0.0020	0.0663
devons	0.0020	0.0858
achat	0.0020	0.0590
parle	0.0020	0.0808
planter	0.0020	0.0628
sert	0.0020	0.0810
where	0.0020	0.0720
ouvrage	0.0020	0.0868
mots	0.0020	0.0767
france	0.0021	0.0758
font	0.0021	0.1004
retrait	0.0021	0.0423
teste	0.0021	0.0367
reçût	0.0021	0.0528
guerre	0.0021	0.0828
him	0.0021	0.0538
premier	0.0021	0.0916
toutes	0.0021	0.1042
pouvoit	0.0021	0.0992
jaques	0.0021	0.0484
don	0.0021	0.0768
vouloit	0.0021	0.0924
legitime	0.0021	0.0453
differentes	0.0021	0.0516
apelle	0.0021	0.0553
soient	0.0021	0.1000
apôtre	0.0021	0.0552
contrefaits	0.0021	0.0683
foin	0.0021	0.0829
corps	0.0021	0.0784
cerveau	0.0021	0.0689
please	0.0021	0.1001
payable	0.0021	0.0729
republique	0.0021	0.0508
immeubles	0.0021	0.0586
scène	0.0021	0.0778
bnf	0.0021	0.0940
plaira	0.0021	0.0751
n'étoit	0.0021	0.0981
dieu	0.0021	0.0715
maison	0.0021	0.0877
executer	0.0021	0.0392
avés	0.0021	0.0510
depuis	0.0021	0.1017
grands	0.0021	0.0956
much	0.0021	0.0715
ville	0.0021	0.0865
endroit	0.0021	0.0906
contrevenans	0.0021	0.0729
parlé	0.0021	0.0870
ment	0.0021	0.0799
considerable	0.0021	0.0529
voulut	0.0021	0.0884
n'avoit	0.0021	0.1053
unes	0.0021	0.0962
l'avait	0.0021	0.0626
n'avoient	0.0021	0.0941
poires	0.0021	0.0547
repartit	0.0021	0.0604
demanda	0.0021	0.0757
obligé	0.0021	0.0914
tragedie	0.0021	0.0424
d'en	0.0021	0.0970
pouvoient	0.0021	0.1000
s'était	0.0021	0.0710
ambassadeur	0.0021	0.0647
eglise	0.0021	0.0647
contrevenir	0.0021	0.0604
n'ayent	0.0021	0.0841
conseil	0.0021	0.0740
armée	0.0021	0.0835
côté	0.0021	0.0955
fuis	0.0021	0.0781
spirituelles	0.0022	0.0532
plaise	0.0022	0.0782
fit	0.0022	0.0944
lols	0.0022	0.0735
eûmes	0.0022	0.0712
delits	0.0022	0.0619
demeura	0.0022	0.0716
procedent	0.0022	0.0464
estre	0.0022	0.0725
choux	0.0022	0.0652
années	0.0022	0.0994
fin	0.0022	0.0857
payer	0.0022	0.0887
donne	0.0022	0.1027
pouvons	0.0022	0.0945
commandeur	0.0022	0.0581
fervent	0.0022	0.0790
charpentiers	0.0022	0.0753
veut	0.0022	0.1003
avanture	0.0022	0.0632
augustin	0.0022	0.0520
changes	0.0022	0.0497
archevêque	0.0022	0.0703
