# Mots en drift significatif
# format: mot | drift_moyen | drift_global

ida	0.0133	0.3778
comr	0.0133	0.3674
douteux	0.0133	0.3918
caille	0.0133	0.3074
rier	0.0132	0.3326
dée	0.0132	0.3341
clémence	0.0132	0.3418
s'occuper	0.0132	0.3664
lutte	0.0132	0.3137
bis	0.0132	0.3204
jur	0.0132	0.3376
timons	0.0132	0.3066
magie	0.0131	0.3206
exempte	0.0131	0.3475
qu'aujourd'hui	0.0131	0.3036
meu	0.0131	0.3729
subir	0.0131	0.4047
seconder	0.0131	0.4207
mépriser	0.0131	0.3600
dimi	0.0131	0.3425
conr	0.0131	0.3112
l'observation	0.0131	0.3286
frivole	0.0131	0.3511
porcs	0.0130	0.3114
eme	0.0130	0.3037
l'épreuve	0.0130	0.3385
carriere	0.0130	0.3795
s'enrichir	0.0130	0.3690
énormes	0.0130	0.3877
conm	0.0130	0.3519
liers	0.0130	0.3387
liste	0.0130	0.3095
remplacer	0.0130	0.3896
dai	0.0130	0.3466
comn	0.0130	0.3720
l'honnêteté	0.0130	0.3035
capitales	0.0130	0.3293
protéger	0.0130	0.3783
absolue	0.0129	0.3537
condom	0.0129	0.3460
supprimer	0.0129	0.3655
teinte	0.0129	0.3247
dominer	0.0128	0.3646
déposer	0.0128	0.3714
l'apparence	0.0128	0.3138
révolutions	0.0128	0.3832
exi	0.0128	0.3702
opéra	0.0128	0.3589
l'ecole	0.0128	0.3391
événemens	0.0128	0.4185
poésie	0.0128	0.3710
tement	0.0127	0.3622
vraies	0.0127	0.3272
régulier	0.0127	0.3549
renaître	0.0127	0.3349
varie	0.0127	0.4134
fleuri	0.0127	0.3127
ete	0.0127	0.3201
s'e	0.0127	0.3091
posséder	0.0126	0.3556
illusion	0.0126	0.3561
l'entreprise	0.0126	0.3378
modéré	0.0126	0.3350
l'injustice	0.0125	0.3449
françoises	0.0125	0.3689
réparation	0.0125	0.3195
bienfait	0.0125	0.3335
nement	0.0125	0.3469
recon	0.0125	0.3635
d'avancer	0.0125	0.3094
s'ef	0.0125	0.3521
plie	0.0124	0.3400
ronces	0.0124	0.3491
ruse	0.0124	0.3242
gement	0.0124	0.3321
compa	0.0124	0.3271
lrs	0.0124	0.3432
vendant	0.0123	0.3142
construction	0.0123	0.3385
destruction	0.0123	0.3575
générosité	0.0123	0.3462
journellement	0.0123	0.3079
borné	0.0123	0.3678
bénéfice	0.0123	0.3349
préférer	0.0122	0.3405
dépouiller	0.0122	0.3853
ades	0.0122	0.3249
parvint	0.0122	0.3853
marne	0.0122	0.3018
moire	0.0122	0.3306
voitures	0.0122	0.3300
maintien	0.0121	0.3769
bor	0.0121	0.3747
penses	0.0121	0.3051
diriger	0.0121	0.3799
solidité	0.0121	0.3795
préparation	0.0121	0.3535
