mot_cible,nb_ancres,ancres
chevilles,7,"cloux, bâtons, barres, planches, trous, bouts, pointes"
chevre,4,"cochon, poil, d'inde, mouton"
chez,12,"arrivant, souper, dîner, l'appartement, j'allai, parmi, carrosse, logis, appartement, hier, auprès, d'entre"
chien,11,"cerf, loup, cheval, sanglier, berger, l'oiseau, chiens, troupeau, boeuf, oiseau, mouton"
chiens,20,"loups, cerf, oiseaux, proye, cerfs, chevaux, chien, loup, bêtes, brebis, sanglier, moutons, animaux, pigeons, serpens, perdrix, vaches, chasse, bergers, poulets"
chiffre,9,"quotient, diviser, colonne, multipliant, posez, pose, l'addition, septime, nombres"
chiffres,9,"nombres, colonne, lignes, multipliant, l'addition, chiffre, cartes, caracteres, figures"
chine,7,"perse, moscovie, l'amerique, orientales, indes, d'orient, guinée"
chinois,8,"orientaux, portugais, espagnols, anglois, savans, hollandois, payens, juifs"
chirurgien,20,"barbier, commissaire, intendant, colonel, médecin, valet, officier, commandant, avocat, régiment, gentilhomme, medecin, compagnon, matelot, sergent, capitaine, tailleur, pilote, portier, charpentier"
chirurgiens,10,"jurez, sergens, procureurs, vizirs, maitres, avocats, huissiers, echevins, syndics, ecoliers"
choc,3,"combat, déroute, tempête"
choeur,18,"chantons, choeurs, tragedie, diane, scene, momus, prologue, célébrer, concerts, nymphes, amants, jupiter, bacchus, junon, bergers, déesse, autels, l'hymen"
choeurs,12,"prologue, choeur, diane, nymphes, chantons, concerts, momus, bergers, bacchus, amants, amours, cantiques"
choie,10,"chore, chose, chosc, accident, incommodité, ation, obligation, espece, matire, aion"
choies,12,"choses, rencontres, qualite, natures, occasions, perfonnes, manieres, régles, operations, aions, personnes, causes"
choisi,19,"quitté, formé, suivi, envoyé, refusé, trouvé, rencontré, amené, dressé, offert, établi, acheté, oublié, appellé, apporté, planté, commandé, donné, nommé"
choisie,11,"unie, trouvée, élevée, retirée, préparée, nommée, appellée, envoyée, enfermée, ornée, mise"
choisies,4,"délicates, établies, trouvées, excellentes"
choisir,10,"placer, nommer, donner, employer, disposer, conserver, prendre, imiter, tenir, établir"
choisis,4,"employez, nommez, syndics, appeliez"
choisit,15,"destine, prend, apelle, proposa, nomme, prenoit, travailloit, envoya, appella, employe, prenait, choisi, donna, choisir, prépare"
choix,7,"goût, jugement, accueil, censeur, compliment, choisir, arbitre"
choque,3,"lignifie, n'entend, moque"
choquer,4,"mentir, hazarder, railler, préjudicier"
choqué,15,"maltraité, fâché, étonné, affligé, surpris, piqué, accusé, ravi, content, incommodé, touché, convaincu, outré, blessé, averti"
chore,10,"choie, chosc, chose, incommodité, ation, aion, matire, obligation, terns, espece"
chosc,10,"choie, chore, chose, ation, matire, aion, obligation, incommodité, clameur, raiyon"
chose,13,"choie, chore, chosc, manière, substance, proposition, maniére, espece, affaire, maniere, expression, bagatelle, maniéré"
choses,10,"choies, créatures, rencontres, occasions, perfections, manières, causes, manieres, merveilles, operations"
choux,9,"pois, pommes, poires, prunes, automne, d'hyver, d'inde, légumes, graines"
chretien,11,"chrétien, catholique, suede, jaques, payen, d'efpagne, souverain, empereur, humble, puissant, prince"
chretiens,26,"chrétiens, payens, théologiens, catholiques, dogmes, protestans, saints, fideles, juifs, papes, hérétiques, philosophes, infideles, prophetes, profanes, orientaux, patriarches, fidèles, mysteres, apôtres, martyrs, ignorans, anges, conciles, pasteurs, evêques"
chri,7,"chrif, dien, sauveur, jefus, amen, prophete, christ"
chrif,12,"chri, jefus, amen, dien, sauveur, dicu, christ, prophete, l'apôtre, eternel, l'ange, l'evangile"
christ,17,"sauveur, chrif, chri, baptême, l'humilité, dieu, sacrement, l'evangile, abraham, apôtres, saints, martyrs, l'ange, divin, jefus, prophete, vierge"
christianisme,14,"religion, doctrine, dogme, chrétiens, l'evangile, théologiens, dogmes, payens, l'eglise, profanes, chrétienne, tradition, chretiens, saints"
christophe,3,"villiers, martin, nicolas"
chré,4,"chrétiens, profanes, fidelles, chretiens"
chrétien,13,"chretien, catholique, chrétienne, souverain, dieu, chrétiens, pasteur, humble, philosophe, prélat, prêtre, apostolique, payen"
chrétienne,15,"apostolique, religion, romaine, catholique, dogme, l'humilité, l'evangile, doctrine, gallicane, sainte, dogmes, sainteté, l'eglise, chrétien, chrétiens"
chrétiennes,14,"divines, saintes, profanes, vierges, excellentes, parfaites, martyrs, éternelles, chrétiens, spirituelles, l'humilité, diverfes, eglises, l'evangile"
chrétiens,24,"payens, chretiens, catholiques, juifs, fidèles, orientaux, protestans, théologiens, fideles, martyrs, prêtres, hérétiques, pasteurs, papes, grecs, patriarches, saints, apôtres, dogmes, profanes, prophetes, infideles, empereurs, docteurs"
chute,7,"épouvantable, terrible, tempête, mort, effroyable, tomba, tonnerre"
château,16,"chateau, village, bourg, plaine, louvre, quartier, garnison, chapelle, bâti, palais, salle, carrosse, luxembourg, grange, pont, appartement"
châteaux,7,"garnisons, seigneuries, bailliages, fortifications, colleges, maisons, villes"
châtelet,13,"prévôt, pardevant, bailliage, notaires, echevins, bailli, rouen, commissaire, requêtes, baillifs, procureur, avocats, parlement"
châtier,4,"pendre, venger, avertir, arrêter"
châtiment,4,"coupable, crime, courroux, punition"
chère,10,"chere, bonjour, lucile, isabelle, nièce, parbleu, tante, mère, angélique, maîtresse"
chés,13,"chez, j'allai, souper, pria, mena, demanda, logis, l'heure, conta, manda, dîner, l'appartement, lendemain"
chêne,5,"tronc, bois, d'arbre, l'écorce, buis"
chênes,6,"verds, rochers, cerfs, d'arbres, tiges, arbres"
ciceron,14,"cicéron, servius, cefar, dion, pompée, quintus, plutarque, clodius, caton, brutus, césar, lentulus, poëte, marcus"
cicéron,12,"ciceron, césar, servius, dion, clodius, brutus, quintus, plutarque, caton, pompée, poëte, marcus"
ciel,10,"cieux, tremble, jupiter, courroux, propice, mortels, destin, dieu, trépas, hélas"
ciens,16,"payens, modernes, sculpteurs, anciens, profanes, orientaux, ignorans, ecrivains, philosophes, poëtes, théologiens, latins, savans, juifs, prophetes, auteurs"
ciers,8,"sergens, bailliages, comptables, vizirs, ecoliers, colleges, royaux, officiers"
cieux,18,"enfers, mortels, ciel, autels, anges, ondes, chantons, etoiles, l'univers, dieux, bienheureux, jupiter, sombres, tonnerre, l'eternel, foudres, flots, neptune"
cinq,20,"quatre, sept, quinze, vingt, cinquante, trente, quatorze, onze, douze, huit, seize, quarante, neuf, soixante, environ, scpt, dcux, vingts, vingr, millier"
cinquante,23,"soixante, trente, quarante, quatorze, seize, quinze, cinq, vingt, sept, cents, onze, douze, cens, environ, huit, cent, quatre, mille, scpt, neuf, vingts, millier, vingr"
cinquieme,10,"quatrieme, cinquième, huitième, douzième, deuxième, sixième, septime, quatrième, neuvième, troisième"
cinquième,11,"quatrième, septime, deuxième, huitième, quatrieme, sixième, troisième, neuvième, troisiéme, douzième, fécond"
circonstance,9,"incommodité, expression, aventure, affaire, opération, clause, proposition, avanture, conjecture"
circonstances,7,"choies, occasions, choses, causes, rencontres, conditions, clauses"
circuit,8,"latitude, située, septentrionale, lieues, miles, peuplée, nord, chateau"
cire,14,"jaune, poix, pâte, canelle, foye, miel, blanche, rouge, huile, d'huile, corail, beurre, blanc, l'huile"
cirque,10,"capitole, minerve, theatre, temple, diane, tibre, temples, statues, bacchus, spectacles"
citadelle,10,"garnison, château, barcelone, catalogne, tournai, frontière, chateau, siege, tranchée, bourg"
citation,7,"aion, conjecture, ation, remontrance, contestation, relation, convention"
cite,3,"cité, traduit, commentaire"
citer,12,"d'expliquer, expliquer, rapporter, prouver, nommer, appliquer, ajouter, parler, dire, raconter, remarquer, lire"
citez,7,"nommez, appellez, appeliez, cité, proposez, traitez, expliquez"
citoyen,11,"augure, chrétien, homme, homine, soldat, affranchi, officier, conful, gentilhomme, pasteur, philosophe"
citoyens,6,"magistrats, soldats, habitans, confuls, tribuns, esclaves"
citron,11,"muscade, poivre, canelle, beurre, noix, poix, jaunes, vinaigre, d'olive, lard, l'huile"
cité,6,"enseigné, epître, appellé, commentaire, rapporté, traduit"
civil,6,"genéral, jurisdiction, criminel, ancien, police, ecclésiastique"
civilement,4,"curé, affligé, humblement, remercia"
civiles,6,"établies, guerres, réelles, particulières, publiques, temporelles"
civilité,4,"familiarité, distinction, conversation, humilité"
civils,16,"sénéchaux, baillifs, justiciers, lieutenans, lieutenants, appartiendra, procureurs, bailliages, superieurs, sergens, avocats, criminels, juges, dépendans, royaux, justices"
clair,13,"claire, clairement, intelligible, aisé, abondant, nette, clairs, épais, vrai, évident, jaune, blanc, rouge"
claire,14,"nette, délicate, douce, subtile, chaude, courte, merveilleuse, obscure, épaisse, vive, clair, ample, fraîche, intelligible"
clairement,10,"amplement, intelligible, manifestement, l'apôtre, verité, clair, l'existence, l'ecriture, l'experience, ceci"
claires,7,"excellentes, délicates, naturelles, amples, simples, parfaites, courtes"
clairs,6,"obscurs, simples, claires, difficiles, forts, parfaits"
clameur,18,"haro, requis, quelconques, ibidem, d'icelles, saisies, sergent, nonobstant, oppositions, permission, signature, obtenues, d'icelui, renvoi, empêchement, huissier, chancellerie, execution"
clarté,8,"lumiere, chaleur, rayons, blancheur, soleil, nuage, lune, brillant"
classe,5,"instance, race, distinction, année, espéce"
classes,4,"natures, operations, espéces, especes"
claude,8,"nicolas, daniel, baptiste, chanoine, bernard, abbé, tellier, robert"
clause,13,"convention, dette, renonciation, garantie, formule, obligation, prescription, déclaration, quittance, donation, acquisition, contrat, restitution"
clauses,17,"conditions, constitutions, donations, déclarations, requises, testamens, sentences, régles, oppositions, cautions, propositions, ordonnances, contraventions, articles, contrats, procédures, validité"
clef,15,"fenêtre, fermée, coffre, cage, boëte, bague, garnie, paquet, poulie, ouverte, bourse, lampe, voute, portier, enfermée"
clefs,10,"portes, hardes, fenêtres, chambres, portier, boutiques, gardes, coffre, bouts, chevilles"
clement,9,"pontificat, gregoire, leon, constantin, henri, pape, martyr, nicolas, charles"
clerc,17,"avocat, député, bailli, docteur, secretaire, doyen, abbé, chanoine, notaire, normand, evêque, nicolas, sorbonne, secrétaire, commissaire, curé, vicaire"
clercs,13,"procureurs, sergens, avocats, comptables, colleges, syndics, notaires, vicaires, huissiers, ecclésiastiques, bailliages, gentilshommes, ecoliers"
clergé,7,"diocèse, syndic, prélats, ecclésiastiques, l'assemblée, evêques, sorbonne"
clermont,6,"villiers, bourges, vicomte, montfort, bailliage, d'auvergne"
climat,9,"terroir, sertile, abondant, abonde, humides, froids, printems, humide, froid"
climats,10,"concerts, fleuves, sombres, mers, froids, lieux, vents, airs, rivages, oiseaux"
clle,5,"ellc, qu'clle, cctte, ccttc, cettc"
clles,3,"ellcs, nulles, lorsqu'elles"
cloche,6,"couche, poulie, broche, cage, panier, voute"
cloches,4,"paille, cloche, plumes, planches"
clodius,21,"tribun, césar, caton, cefar, marcellus, pompée, conful, curion, catilina, lentulus, sénat, senat, quintus, dictateur, d'antoine, conjuration, cicéron, préteur, ciceron, brutus, sylla"
clos,4,"bailliage, moilon, portier, grange"
clou,8,"canelle, cloux, oeuf, plomb, pointu, creux, rond, manche"
cloud,7,"germain, simon, malo, sulpice, martin, augustin, andré"
clous,8,"muscade, poivre, citron, canelle, jaunes, noix, lard, cloux"
cloux,7,"bâtons, chevilles, ronds, clou, barres, canelle, boutons"
clovis,16,"constantin, d'alexandre, henri, henry, philippe, charles, surnommé, alexandre, aîné, empereur, bâtard, léon, ainé, ferdinand, louis, d'henri"
cloître,13,"monastere, diocèse, paradis, abbaye, religieuses, enfermée, chapelle, cathédrale, prieuré, l'appartement, religieuse, palais, enterré"
clément,12,"pape, bulle, pontificat, leon, léon, clement, cardinal, évêque, gregoire, papes, d'henri, constantin"
clôture,7,"l'adjudication, décharge, sommation, huitaine, quinzaine, reception, élection"
cntre,5,"entre, d'entre, contré, avcc, provint"
cocher,15,"carosse, cabaret, mule, valet, carrosse, portier, chien, logis, croupe, chaise, garçon, cheval, fripon, coquin, harnois"
cochon,12,"boeuf, mouton, vache, graisse, lard, citron, broche, fromage, galle, oeuf, veau, bouilli"
cochons,9,"poulets, vaches, poules, pigeons, légumes, pois, moutons, oeufs, volaille"
coeur,12,"amour, rival, courroux, epoux, hymen, destin, amant, sort, l'amour, affliction, esprit, trépas"
coeurs,12,"voeux, amants, souhaits, soupirs, autels, concerts, mortels, amours, chantons, consciences, amans, plaisirs"
coffre,17,"paquet, clef, mouchoir, vase, panier, appartement, cabinet, logis, manteau, linge, bague, boëte, fauteuil, portier, bourse, anneau, cage"
coffres,10,"hardes, équipages, cabinets, bourses, boutiques, pierreries, habits, paniers, revenus, diamans"
coin,5,"banc, panier, clef, coffre, garni"
coins,8,"bouts, trous, bâtons, plats, cloux, doigts, pavillons, flambeaux"
colbert,11,"tellier, secrétaire, surintendant, louvois, intendant, secretaire, chancelier, conseiller, d'etat, l'abbé, finances"
colere,14,"colère, irrité, fureur, desespoir, furieux, frayeur, douleur, indigné, cruel, terrible, violence, rage, emportement, courroux"
colin,8,"merlin, arlequin, bonjour, lucile, morbleu, pierrot, comedie, angélique"
collation,17,"audience, chapelle, reception, visite, nomination, commission, messe, requête, bulle, abbaye, pension, quittance, salle, copie, délibération, assemblée, fête"
college,11,"ecoliers, colleges, doyen, cathédrale, secretaire, bailliage, nomination, prieuré, chanoine, bourges, l'evêque"
colleges,8,"bailliages, ecoliers, ecclésiastiques, eglises, gouverneurs, magistrats, gentilshommes, séculiers"
collet,13,"chapeau, chemise, mouchoir, bâton, pointu, croupe, l'épaule, manteau, anneau, collier, ceinture, rond, derrière"
collier,18,"manteau, chemise, bleu, velours, toison, diamans, broderie, ceinture, rubis, chapeau, drap, harnois, mouchoir, perles, robe, habit, bâton, pierreries"
colline,11,"plaine, rocher, riviere, fontaine, rivage, allée, muraille, située, ruisseau, montagnes, voute"
collines,9,"montagnes, rochers, rivieres, fontaines, fleuves, plaine, rivages, murailles, bords"
collège,13,"évêque, bourges, chanoine, sorbonne, théologie, nicolas, abbé, prieuré, doyen, bibliothèque, cathédrale, prieur, tellier"
collége,6,"college, nomination, doyen, cathédrale, ecoliers, colleges"
cologne,7,"brabant, moscovie, duché, rotterdam, tournay, flandres, lorraine"
colombe,7,"fontaine, croix, catherine, chapelle, vierge, orange, voute"
colonel,18,"régiment, lieutenant, commandant, d'infanterie, officier, d'armée, cavalerie, dragons, capitaine, commandoit, l'amiral, gouverneur, général, commandée, connétable, amiral, villars, maréchal"
colonie,12,"isle, ifle, escadre, l'isle, flotte, province, rade, garnison, côte, capitale, l'amerique, ville"
colonies,11,"isles, denrées, ports, villes, garnisons, hollandois, l'amerique, provinces, indes, marchandises, nations"
colonne,9,"operation, pose, ligne, chiffre, posez, droite, quarrée, gauche, quotient"
colonnes,8,"piéces, colonne, lignes, figures, planches, proportions, allées, têtes"
coloris,12,"peinture, pinceau, couleurs, peintre, goût, figures, tableau, couleur, peintres, beauté, stile, tableaux"
colère,8,"courroux, colere, traître, perfide, fureur, cruel, irrité, furie"
combat,11,"bataille, combattre, camp, courage, victoire, ennemis, carnage, cavalerie, armé, déroute, victorieux"
combats,4,"airs, flots, lauriers, combat"
combattant,8,"combattre, furieux, arme, vainqueur, armé, combat, victoire, victorieux"
combattre,5,"attaquer, combat, marcher, joindre, s'embarquer"
combattu,5,"gagné, perdu, vécu, couru, sauvé"
combien,13,"quelles, quels, comment, quel, quelle, l'experience, quotient, operation, reposée, clairement, premierement, verges, premièrement"
comble,5,"comblé, affreux, hélas, redouble, triomphe"
combler,4,"célébrer, l'hymen, sauver, jouir"
comblé,5,"sauvé, offert, charmé, ravie, goûté"
comedie,10,"arlequin, pierrot, lucile, parbleu, comédie, bonjour, bian, frontin, prologue, morbleu"
comes,4,"alias, mortem, locum, eadem"
comique,4,"plaisant, théâtre, comédie, prologue"
commanda,21,"ordonna, envoya, chargea, présenta, permit, pria, appella, alloit, renvoya, manda, voulut, obligea, apporta, proposa, promit, vint, mena, donna, l'envoya, vouloit, l'obligea"
commandant,24,"l'amiral, colonel, capitaine, commandoit, officier, lieutenant, gouverneur, prisonnier, cavalerie, amiral, flotte, camp, régiment, garnison, l'armée, d'infanterie, dragons, soldats, commander, d'armée, capitaines, navale, chef, commandée"
commande,11,"appartient, aide, enseigne, commandement, accorde, commanda, commandé, commander, envoye, commandant, commandez"
commandemens,15,"serviteurs, auditeurs, exploits, prieres, disciples, prédécesseurs, sermons, conseils, ordres, attributs, jugemens, souhaits, serments, consciences, successeurs"
commandement,23,"commander, gouverneur, consulat, commande, camp, commandant, ordres, lieutenant, l'amiral, commandée, l'armée, régiment, confulat, officier, commandé, cavalerie, ordre, colonel, chef, détachement, mandement, navale, d'armée"
commander,14,"commandement, commandant, joindre, marcher, d'armée, commandoit, l'envoyer, gouverneur, attaquer, s'embarquer, combattre, envoyer, embarquer, lieutenant"
commandeur,19,"chancelier, prévôt, abbé, chevalier, maréchaux, chanoine, prieur, barbier, comte, tellier, vicaire, bailli, conseiller, intendant, secrétaire, doyen, andré, secretaire, marquis"
commandez,10,"portez, envoyez, appeliez, commandée, montez, dragons, nommez, gardez, montrez, avancez"
commandoit,15,"commandée, l'armée, cavalerie, marchoit, commandant, flotte, marcha, envoya, navale, colonel, gouverneur, d'infanterie, l'amiral, dragons, rencontra"
commandé,20,"refusé, envoyé, amené, offert, quitté, demandé, promis, apporté, mandé, prié, déclaré, rencontré, appris, fauvé, ordonné, resolu, répondu, sauvé, résolu, averti"
commandée,12,"commandoit, cavalerie, flotte, d'infanterie, navale, colonel, garnison, l'amiral, dragons, escadre, l'armée, commandant"
commence,18,"commencera, commença, commencent, commencé, commençoit, doit, entend, veut, printemps, commencer, pousse, faut, commencement, prépare, devroit, peut, empêche, laisse"
commencemens,3,"desordres, siecles, premiers"
commencement,16,"siecle, précédente, l'automne, printemps, d'août, mois, septembre, d'avril, prémier, automne, commencé, d'octobre, printems, cinquième, quatrième, suivante"
commencent,20,"deviennent, poussent, viennent, vont, veulent, perdent, empêchent, passent, laissent, commence, paroissent, entendent, devroient, peuvent, sauroient, doivent, s'attachent, tâchent, contentent, fauroient"
commencer,18,"finir, continuer, achever, préparer, examiner, partir, attendre, dresser, planter, commencera, commence, multiplier, cueillir, tailler, regler, travailler, observer, semer"
commencera,8,"commence, commencent, commencé, viendra, commencer, commencez, commença, faudra"
commencerent,16,"virent, alloient, mirent, sortirent, allerent, trouverent, firent, vinrent, crurent, eurent, entrerent, purent, trouvèrent, voulurent, devoient, allèrent"
commencez,17,"préparez, verrez, portez, pourrez, vouliez, souvenez, cherchez, voulez, laissez, achevez, pouvez, proposez, venez, gardez, allez, attendez, voudrez"
commencèrent,17,"trouvèrent, voulurent, virent, allèrent, firent, mirent, purent, sortirent, alloient, voulaient, crurent, allerent, vinrent, eurent, pourraient, pouvaient, devoient"
commencé,18,"appris, achevé, continué, entrepris, manqué, quitté, apris, travaillé, voulu, promis, tâché, souhaité, renoncé, couru, commence, laissé, oublié, consenti"
commencée,9,"demandée, passée, achevée, finie, continuée, commencé, envoyée, conclue, proposée"
comment,11,"quelle, quelles, quel, pourquoi, quels, combien, premièrement, quand, apprenez, premierement, diable"
commentaire,9,"manuscrit, epître, poëme, critique, original, texte, l'auteur, recueil, traduction"
commentaires,12,"ecrivains, ecrits, dialogues, écrits, sermons, memoires, dogmes, harangues, auteurs, mémoires, histoires, ouvrages"
commentateurs,12,"critiques, manuscrits, auteurs, savans, philosophes, ecrivains, latins, théologiens, modernes, poëtes, texte, docteurs"
commença,22,"voulut, commençoit, vint, acheva, alloit, alla, résolut, devoit, l'obligea, commence, venoit, laissa, quitta, pria, contenta, apprit, proposa, pensa, obligea, vouloit, tâcha, entendit"
commençait,20,"pouvait, devait, allait, pourrait, voulait, venait, faisait, fallait, saurait, n'osa, pouvaient, fallut, voulut, pensa, savait, voudrait, pourraient, croyait, voyait, c'était"
commençant,11,"commence, commencera, commencer, multiplier, commencez, commencent, quatrième, multipliant, deuxième, quatrieme, exemple"
commençoit,20,"alloit, commença, venoit, devoit, faisoit, voulut, vint, vouloit, pouvoit, pensa, craignoit, paroissoit, crut, acheva, commençait, croyoit, favoit, commence, voyoit, falloit"
commençons,18,"savons, allons, ferons, irons, voulions, verrons, serons, jugeons, pourrons, entendons, cherchons, devions, voyons, fîmes, allions, faisons, trouverons, venons"
commerce,10,"trafic, navigation, l'angleterre, négocians, hollandois, etrangers, l'amerique, trafiquer, etrangeres, commerces"
commerces,5,"inconveniens, ports, évenemens, rouvraies, négocians"
commercial,11,"also, please, whether, taken, search, only, google, where, them, these, other"
commercy,7,"commerce, trafic, holland, l'amerique, rochelle, navigation, sucres"
commet,5,"larcin, requiert, condamne, fraude, punition"
commettent,7,"trouveront, fraudes, arrivent, condamnent, ignorent, contraventions, trouvent"
commettre,3,"exercer, prevenir, souffrir"
commi,3,"controlleur, pouir, commissaires"
commis,11,"jurez, commissaire, sergens, syndics, delits, procureurs, controlleur, huissiers, receveur, refaits, notaires"
commise,13,"accusé, condamné, jugée, punition, crime, commis, saisie, declaré, déclaré, condamnation, demandée, coupable, faute"
commises,7,"données, obtenues, trouvées, jugées, portées, contraventions, passées"
commissaire,15,"intendant, controlleur, député, prévôt, sergent, secrétaire, lieutenant, receveur, secretaire, bailli, bureau, officier, commis, procureur, syndics"
commissaires,9,"agens, bureau, syndics, avocats, consuls, genéraux, procureurs, controlleur, echevins"
commission,14,"reception, délibération, déclaration, assemblée, quittance, audience, nomination, remise, charge, procuration, bureau, compagnie, décharge, affaire"
commissions,8,"commissaires, quittances, pensions, provisions, traites, vacations, charges, assignations"
commode,8,"agréable, commodément, agreable, proche, abondant, facile, magnifique, ample"
commodes,6,"difficiles, larges, riches, commodément, amples, agréables"
commodité,7,"commode, incommodité, dépense, entretenir, boutiques, garnir, commodément"
commodités,4,"liqueurs, douceurs, ordures, choies"
commodément,7,"vîte, commode, vite, facilement, proche, loger, serrer"
commun,10,"different, particulier, évident, ancien, commune, établi, général, certain, ordinaire, incompatible"
communauté,6,"iceux, echevins, jurisdiction, syndic, reception, refaits"
commune,10,"établie, ancienne, generale, particuliere, claire, haute, laquelle, égale, meilleure, principale"
communes,14,"naturelles, réelles, claires, essentielles, délicates, particulières, importantes, celles, simples, telles, établies, meilleures, excellentes, spirituelles"
communi,4,"regis, alias, regni, anno"
communication,9,"liaison, union, intelligence, conformité, l'union, conjointement, alliance, relation, précaution"
communion,16,"l'eglise, apostolique, sacremens, saints, l'evangile, baptême, sacrement, participation, cene, apôtres, dogme, eglise, religion, protestans, doctrine, vocation"
communiquer,12,"donner, fournir, accorder, répondre, permettre, préjudicier, apprendre, apporter, envoyer, recevoir, ôter, accommoder"
communiqué,10,"examiné, approuvé, rapporté, dressé, répondu, témoigné, donné, fourni, demandé, renvoyé"
communiquée,5,"jugée, envoyée, demandée, approuvée, continuée"
communs,6,"courts, différens, tels, differens, grands, parfaits"
communément,6,"ordinairement, nomme, appelle, d'ordinaire, plûpart, plupart"
compagne,12,"maîtresse, soeur, charmante, gouvernante, parente, princesse, dame, nymphe, nourrice, tante, servante, fille"
compagnes,13,"amies, camarades, soeurs, galanteries, amours, souhaits, amans, maîtresses, avantures, frères, filles, ennuis, nymphes"
compagnie,10,"l'assemblée, commission, assemblée, avanture, orientales, caisse, garnison, délibération, societé, banque"
compagnies,7,"d'infanterie, dragons, garnisons, chambres, bataillons, villes, provinces"
compagnon,14,"maitre, boutique, portier, garçon, apprentifs, métier, valet, voisin, tuteur, barbier, camarade, matelot, parent, tailleur"
compagnons,17,"apprentifs, maitres, serviteurs, maîtres, freres, garçons, camarades, valets, parens, ecoliers, domestiques, amis, oncles, hardes, enfans, esclaves, disciples"
comparable,3,"semblable, incomparable, digne"
comparaison,7,"difference, différence, liaison, justesse, distinction, expression, differente"
compare,6,"examine, considere, parle, mêle, s'accorde, éleve"
comparer,8,"s'accommoder, appliquer, ajouter, imiter, exprimer, s'imaginer, conclure, expliquer"
comparé,4,"estimé, connu, rapporté, traduit"
compas,4,"quarré, centre, rond, instrument"
compassion,10,"douleur, desespoir, touché, affliction, joye, frayeur, colere, mortification, tristesse, joie"
compatriotes,11,"camarades, prédécesseurs, amis, voisins, freres, correspondans, compagnes, amies, successeurs, ennemis, disciples"
complaisance,5,"amitié, inclination, familiarité, bonté, mortification"
complet,4,"intitulé, excellent, merveilleux, composé"
complice,7,"coupable, infidèle, crime, traître, perfide, suspect, accusé"
complices,5,"catilina, conjuration, criminels, crimes, camarades"
complimens,6,"camarades, amies, amis, respects, services, galanteries"
compliment,16,"révérence, portrait, personnage, asseoir, accueil, recit, semblant, rire, confidence, accroire, discours, billet, réponse, voyage, hôte, dîner"
complot,4,"rival, traître, fourbe, dessein"
compofé,4,"orné, composé, ornée, composée"
composa,5,"intitulé, traduit, celebre, fameux, écrivoit"
compose,3,"composé, contient, composée"
composent,5,"dépendent, suivent, entrent, conviennent, font"
composer,10,"exprimer, lire, contenir, fournir, appliquer, imiter, expliquer, dresser, employer, placer"
composition,13,"liqueur, huile, matiere, coloris, matière, boisson, expression, peinture, l'huile, invention, pièce, substance, traduction"
composoient,4,"travailloient, étoient, faisoient, servoient"
composé,7,"composée, divisé, orné, contient, intitulé, exprimé, appellé"
composée,9,"composé, remplie, divisé, quarrée, reduite, ornée, accompagnée, appellée, couverte"
comprend,14,"contient, entend, nomme, sçait, represente, appelle, considere, lignifie, n'entend, s'appelle, possede, convient, explique, regarde"
comprendre,13,"juger, expliquer, connoître, entendre, répondre, croire, considerer, s'imaginer, prouver, exprimer, conclure, d'expliquer, remarquer"
comprends,9,"conçois, vois, sais, connais, n'êtes, croyez, n'es, morbleu, crois"
comprens,9,"n'ef, n'entend, n'et, n'es, n'efl, n'efi, n'elt, nest, conçois"
compris,8,"payez, payé, payées, compté, contenus, reglé, payée, vendus"
comprise,4,"contenue, demeurée, située, enfermée"
comprises,6,"marquées, jugées, expliquées, contenues, portées, trouvées"
comprit,20,"connut, sentit, reconnut, déclara, douta, demandoit, apprit, montra, toucha, marqua, parut, favoit, témoigna, demanda, crut, remarqua, doutoit, entendit, voyoit, cacha"
compta,9,"cents, cinquante, pistoles, écus, soixante, promit, trouva, ducats, apporta"
comptables,16,"procureurs, sergens, mandemens, quittances, notaires, iceux, amendes, syndics, susdits, huissiers, controlleur, registres, vacations, comptes, d'iceux, genéraux"
comptant,21,"caisse, achetées, payement, l'achat, payer, billets, vendues, troc, paye, moyennant, prêté, achat, payées, somme, paier, dettes, prime, payé, payable, l'argent, argent"
compte,17,"comptes, caisse, compté, achetées, recette, receveur, remboursement, billet, journal, profit, l'achat, quittances, bureau, visite, achat, comptant, payement"
comptent,6,"tirent, entendent, passent, trompent, prennent, reçoivent"
compter,14,"attendre, conclure, esperer, ajouter, employer, étre, coûter, payer, êrre, êtrc, prétendre, durer, paier, être"
comptes,17,"quittances, comptables, extraits, recette, receveur, vacations, registres, compte, requêtes, payemens, bureau, traites, débiteurs, procureurs, enquêtes, commissaires, gages"
comptez,16,"trouverez, marquez, promets, n'aurez, voudrez, gardez, proposez, savez, souvenez, cherchez, pourrez, souhaitez, manquez, partez, dites, portez"
comptoir,3,"quartier, bureau, commissaire"
comptoit,16,"alloit, croyoit, demandoit, craignoit, souhaitoit, attendoit, vouloit, venoit, faisoit, trouvoit, doutoit, prétendoit, favoit, pouvoit, voyoit, devoit"
compté,18,"payé, gagné, profité, emprunté, répondu, acheté, fourni, reglé, travaillé, déchargé, vendu, prêté, payée, retranché, mandé, augmenté, reçu, apporté"
compétence,8,"jurisdiction, renvoi, royaux, jugées, instance, contestation, justices, juges"
comte,11,"marquis, connétable, chevalier, ferdinand, comtesse, gouverneur, grammont, maréchal, robert, colonel, luxembourg"
comtes,8,"ducs, gentilshommes, d'auvergne, montfort, vicomte, cadets, comté, princes"
