rank,word,drift_1789,drift_moyen
201,préalablement,0.7720,0.6591
202,latitude,0.7719,0.6225
203,d'homme,0.7718,0.7963
204,pré,0.7717,0.7520
205,qu'ily,0.7714,0.8089
206,miracle,0.7712,0.6414
207,nant,0.7708,0.7686
208,suspendu,0.7708,0.6460
209,commis,0.7705,0.6280
210,songe,0.7703,0.7277
211,commercial,0.7703,0.4344
212,d'application,0.7695,0.6100
213,nime,0.7694,0.7202
214,fè,0.7691,0.7428
215,d'orient,0.7690,0.6653
216,d'égard,0.7690,0.7610
217,pren,0.7690,0.7191
218,dç,0.7689,0.7095
219,finance,0.7685,0.6674
220,sûrement,0.7684,0.7745
221,ny,0.7683,0.5552
222,partager,0.7682,0.7229
223,enfuit,0.7680,0.6699
224,quelqu'une,0.7678,0.7737
225,hauts,0.7672,0.7190
226,pavillon,0.7669,0.6607
227,communi,0.7668,0.6490
228,tine,0.7666,0.6823
229,ruement,0.7662,0.7124
230,nou,0.7661,0.7568
231,rens,0.7658,0.7982
232,fauves,0.7656,0.6495
233,d'hui,0.7654,0.7892
234,capi,0.7646,0.7015
235,miere,0.7645,0.8209
236,rep,0.7642,0.6800
237,désirer,0.7641,0.6525
238,naturels,0.7638,0.6037
239,regner,0.7635,0.6821
240,l'ar,0.7634,0.7077
241,moindres,0.7632,0.7398
242,xxxix,0.7632,0.6936
243,ôc,0.7629,0.8313
244,mont,0.7623,0.6367
245,ser,0.7623,0.6945
246,pre,0.7621,0.7270
247,teneur,0.7618,0.6846
248,ché,0.7615,0.6809
249,curiosité,0.7615,0.6882
250,pn,0.7613,0.6192
251,dè,0.7613,0.7587
252,époque,0.7609,0.6676
253,civils,0.7608,0.5199
254,qu'encore,0.7606,0.7185
255,l'office,0.7602,0.7049
256,duit,0.7593,0.6779
257,deçà,0.7590,0.6940
258,conf,0.7587,0.6891
259,lifte,0.7585,0.6633
260,chés,0.7584,0.5817
261,oc,0.7584,0.6915
262,navale,0.7581,0.6583
263,vio,0.7581,0.6320
264,instance,0.7581,0.7167
265,vail,0.7580,0.6860
266,tendu,0.7580,0.7431
267,unanime,0.7579,0.7503
268,repré,0.7572,0.7067
269,légitimes,0.7571,0.7329
270,fû,0.7567,0.5872
271,im,0.7565,0.6693
272,publie,0.7561,0.6840
273,eq,0.7559,0.6140
274,tra,0.7559,0.7660
275,lib,0.7556,0.6217
276,recon,0.7555,0.6626
277,enco,0.7555,0.7463
278,aisement,0.7554,0.6526
279,obligez,0.7552,0.5114
280,ache,0.7552,0.7619
281,parts,0.7543,0.6514
282,cequi,0.7543,0.7157
283,l'impuissance,0.7540,0.7581
284,dili,0.7534,0.6855
285,fart,0.7533,0.7351
286,vifs,0.7532,0.6866
287,exprès,0.7531,0.7619
288,l'hon,0.7529,0.7405
289,ex,0.7529,0.6496
290,l'é,0.7527,0.7610
291,aiant,0.7525,0.5119
292,xlv,0.7524,0.7058
293,ressort,0.7524,0.7166
294,l'âge,0.7523,0.7938
295,qu'étant,0.7523,0.7017
296,adoré,0.7521,0.6499
297,compa,0.7515,0.7284
298,natu,0.7511,0.6625
299,consequent,0.7511,0.6826
300,moien,0.7507,0.5504
301,enée,0.7506,0.6673
302,angloise,0.7503,0.7210
303,marquant,0.7498,0.6161
304,d'empêcher,0.7498,0.7275
305,paré,0.7496,0.7253
306,n'importe,0.7494,0.7607
307,d'entre,0.7493,0.5872
308,lant,0.7493,0.6683
309,éle,0.7490,0.6900
310,commun,0.7490,0.7172
311,roger,0.7489,0.5884
312,quent,0.7488,0.6191
313,finances,0.7487,0.5713
314,trom,0.7486,0.6541
315,ainii,0.7485,0.7670
316,rencontres,0.7483,0.6549
