word,modele,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,disponible
général,dalembert,1710-1720,1750-1760,0.027236,0.972764,3127,12301,5718,True
aul,camembert,1710-1720,1730-1740,0.016336,0.983664,353,143,5657,True
aul,dalembert,1710-1720,1730-1740,0.070881,0.929119,353,143,5657,True
lent,camembert,1740-1750,1780-1789,0.011322,0.988678,863,1868,5707,True
lent,dalembert,1740-1750,1780-1789,0.010982,0.989018,863,1868,5707,True
dubois,camembert,1700-1710,1720-1730,0.065262,0.934738,59,794,5657,True
dubois,dalembert,1700-1710,1720-1730,0.069823,0.930177,59,794,5657,True
sen,camembert,1710-1720,1789-1802,0.014333,0.985667,379,1506,5693,True
sen,dalembert,1710-1720,1789-1802,0.023092,0.976908,379,1506,5693,True
présent,camembert,1740-1750,1789-1802,0.014707,0.985293,6404,12793,5716,True
présent,dalembert,1740-1750,1789-1802,0.022524,0.977476,6404,12793,5716,True
bizarre,camembert,1720-1730,1740-1750,0.041577,0.958423,185,1191,5688,True
bizarre,dalembert,1720-1730,1740-1750,0.063515,0.936485,185,1191,5688,True
présens,camembert,1750-1760,1789-1802,0.012383,0.987617,728,1187,5678,True
présens,dalembert,1750-1760,1789-1802,0.013047,0.986953,728,1187,5678,True
secondes,camembert,1740-1750,1789-1802,0.011127,0.988873,412,769,5678,True
secondes,dalembert,1740-1750,1789-1802,0.026727,0.973273,412,769,5678,True
lig,camembert,1710-1720,1730-1740,0.0124,0.9876,276,264,5575,True
lig,dalembert,1710-1720,1730-1740,0.041251,0.958749,276,264,5575,True
ali,camembert,1700-1710,1780-1789,0.025326,0.974674,583,1176,5682,True
ali,dalembert,1700-1710,1780-1789,0.053459,0.946541,583,1176,5682,True
perdant,camembert,1720-1730,1750-1760,0.012719,0.987281,123,283,5684,True
perdant,dalembert,1720-1730,1750-1760,0.022622,0.977378,123,283,5684,True
veaux,camembert,1740-1750,1750-1760,0.035573,0.964427,460,348,5666,True
veaux,dalembert,1740-1750,1750-1760,0.046055,0.953945,460,348,5666,True
phi,camembert,1710-1720,1789-1802,0.016026,0.983974,380,725,5683,True
phi,dalembert,1710-1720,1789-1802,0.050638,0.949362,380,725,5683,True
présente,camembert,1710-1720,1740-1750,0.011035,0.988965,811,2067,5713,True
présente,dalembert,1710-1720,1740-1750,0.014463,0.985537,811,2067,5713,True
pen,camembert,1700-1710,1760-1770,0.007817,0.992183,893,1712,5699,True
pen,dalembert,1700-1710,1760-1770,0.026229,0.973771,893,1712,5699,True
fins,camembert,1710-1720,1730-1740,0.020364,0.979636,1048,1277,5708,True
fins,dalembert,1710-1720,1730-1740,0.024084,0.975916,1048,1277,5708,True
ressort,camembert,1770-1780,1789-1802,0.009361,0.990639,2742,2009,5707,True
ressort,dalembert,1770-1780,1789-1802,0.013992,0.986008,2742,2009,5707,True
rem,camembert,1700-1710,1789-1802,0.023257,0.976743,923,1582,5697,True
rem,dalembert,1700-1710,1789-1802,0.08138,0.91862,923,1582,5697,True
prochain,camembert,1750-1760,1760-1770,0.014612,0.985388,1295,2076,5702,True
prochain,dalembert,1750-1760,1760-1770,0.031918,0.968082,1295,2076,5702,True
motte,camembert,1710-1720,1740-1750,0.024396,0.975604,808,241,5665,True
motte,dalembert,1710-1720,1740-1750,0.064402,0.935598,808,241,5665,True
commune,camembert,1780-1789,1789-1802,0.035308,0.964692,5825,11455,5717,True
commune,dalembert,1780-1789,1789-1802,0.035942,0.964058,5825,11455,5717,True
moindres,camembert,1730-1740,1780-1789,0.012813,0.987187,686,1566,5707,True
moindres,dalembert,1730-1740,1780-1789,0.02118,0.97882,686,1566,5707,True
privation,camembert,1770-1780,1780-1789,0.00853,0.99147,643,850,5678,True
privation,dalembert,1770-1780,1780-1789,0.01492,0.98508,643,850,5678,True
nouvel,camembert,1710-1720,1750-1760,0.01078,0.98922,600,1694,5709,True
nouvel,dalembert,1710-1720,1750-1760,0.018126,0.981874,600,1694,5709,True
étant,camembert,1700-1710,1710-1720,0.010081,0.989919,6601,6439,5718,True
étant,dalembert,1700-1710,1710-1720,0.022246,0.977754,6601,6439,5718,True
cal,camembert,1710-1720,1770-1780,0.008025,0.991975,262,873,5685,True
cal,dalembert,1710-1720,1770-1780,0.053559,0.946441,262,873,5685,True
entiers,camembert,1740-1750,1780-1789,0.017818,0.982182,703,1224,5700,True
entiers,dalembert,1740-1750,1780-1789,0.018976,0.981024,703,1224,5700,True
lier,camembert,1730-1740,1789-1802,0.00482,0.99518,851,2141,5706,True
lier,dalembert,1730-1740,1789-1802,0.011275,0.988725,851,2141,5706,True
fond,camembert,1730-1740,1750-1760,0.015598,0.984402,5107,6096,5716,True
fond,dalembert,1730-1740,1750-1760,0.018029,0.981971,5107,6096,5716,True
gilles,camembert,1710-1720,1780-1789,0.014823,0.985177,1073,249,5634,True
gilles,dalembert,1710-1720,1780-1789,0.03182,0.96818,1073,249,5634,True
royauté,camembert,1740-1750,1750-1760,0.045919,0.954081,210,840,5681,True
royauté,dalembert,1740-1750,1750-1760,0.051909,0.948091,210,840,5681,True
énorme,camembert,1770-1780,1789-1802,0.007903,0.992097,1293,1772,5703,True
énorme,dalembert,1770-1780,1789-1802,0.01523,0.98477,1293,1772,5703,True
fie,camembert,1710-1720,1740-1750,0.01329,0.98671,926,1546,5705,True
fie,dalembert,1710-1720,1740-1750,0.015801,0.984199,926,1546,5705,True
convention,camembert,1760-1770,1789-1802,0.035716,0.964284,1081,10757,5703,True
convention,dalembert,1760-1770,1789-1802,0.069899,0.930101,1081,10757,5703,True
lat,camembert,1720-1730,1760-1770,0.020117,0.979883,847,10946,5673,True
lat,dalembert,1720-1730,1760-1770,0.080556,0.919444,847,10946,5673,True
fol,camembert,1730-1740,1760-1770,0.089247,0.910753,6496,6265,5705,True
fol,dalembert,1730-1740,1760-1770,0.1697,0.8303,6496,6265,5705,True
levée,camembert,1710-1720,1730-1740,0.038288,0.961712,580,1289,5691,True
levée,dalembert,1710-1720,1730-1740,0.047069,0.952931,580,1289,5691,True
hauts,camembert,1730-1740,1750-1760,0.01437,0.98563,552,522,5690,True
hauts,dalembert,1730-1740,1750-1760,0.023194,0.976806,552,522,5690,True
etc,camembert,1710-1720,1720-1730,0.009023,0.990977,743,844,5704,True
etc,dalembert,1710-1720,1720-1730,0.029604,0.970396,743,844,5704,True
moyen,camembert,1720-1730,1740-1750,0.021526,0.978474,3664,7116,5718,True
moyen,dalembert,1720-1730,1740-1750,0.026227,0.973773,3664,7116,5718,True
détail,camembert,1730-1740,1770-1780,0.012533,0.987467,1968,4516,5715,True
détail,dalembert,1730-1740,1770-1780,0.018467,0.981533,1968,4516,5715,True
mercure,camembert,1730-1740,1760-1770,0.012503,0.987497,1159,1653,5701,True
mercure,dalembert,1730-1740,1760-1770,0.023603,0.976397,1159,1653,5701,True
séparation,camembert,1710-1720,1780-1789,0.016232,0.983768,154,608,5676,True
séparation,dalembert,1710-1720,1780-1789,0.019673,0.980327,154,608,5676,True
basse,camembert,1750-1760,1760-1770,0.025718,0.974282,1816,2093,5707,True
basse,dalembert,1750-1760,1760-1770,0.033135,0.966865,1816,2093,5707,True
meilleur,camembert,1700-1710,1789-1802,0.022327,0.977673,1259,4514,5713,True
meilleur,dalembert,1700-1710,1789-1802,0.022991,0.977009,1259,4514,5713,True
vagues,camembert,1770-1780,1789-1802,0.011528,0.988472,1139,1113,5695,True
vagues,dalembert,1770-1780,1789-1802,0.013476,0.986524,1139,1113,5695,True
désormais,camembert,1780-1789,1789-1802,0.008561,0.991439,672,1432,5675,True
désormais,dalembert,1780-1789,1789-1802,0.015685,0.984315,672,1432,5675,True
lors,camembert,1710-1720,1740-1750,0.012561,0.987439,5874,4585,5715,True
lors,dalembert,1710-1720,1740-1750,0.041808,0.958192,5874,4585,5715,True
vert,camembert,1730-1740,1740-1750,0.005893,0.994107,457,330,5681,True
vert,dalembert,1730-1740,1740-1750,0.019466,0.980534,457,330,5681,True
fantaisie,camembert,1710-1720,1750-1760,0.013471,0.986529,290,392,5678,True
fantaisie,dalembert,1710-1720,1750-1760,0.019682,0.980318,290,392,5678,True
rie,camembert,1700-1710,1730-1740,0.020914,0.979086,759,1617,5706,True
rie,dalembert,1700-1710,1730-1740,0.055527,0.944473,759,1617,5706,True
vide,camembert,1700-1710,1789-1802,0.039651,0.960349,514,888,5684,True
vide,dalembert,1700-1710,1789-1802,0.098311,0.901689,514,888,5684,True
voile,camembert,1720-1730,1780-1789,0.020186,0.979814,709,3783,5715,True
voile,dalembert,1720-1730,1780-1789,0.028696,0.971304,709,3783,5715,True
recherche,camembert,1710-1720,1740-1750,0.00873,0.99127,467,760,5702,True
recherche,dalembert,1710-1720,1740-1750,0.015058,0.984942,467,760,5702,True
sieurs,camembert,1780-1789,1789-1802,0.028465,0.971535,1935,1774,5682,True
sieurs,dalembert,1780-1789,1789-1802,0.02331,0.97669,1935,1774,5682,True
vieux,camembert,1720-1730,1789-1802,0.011002,0.988998,1598,5011,5714,True
