word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
convenir,1700-1710,1730-1740,0.381735,0.618265,434,1054,5713,0.012193,0.987807,0.017928,0.982072
parents,1700-1710,1750-1760,0.381556,0.618444,203,342,5662,0.017933,0.982067,0.021139,0.978861
cavalerie,1720-1730,1789-1802,0.379727,0.620273,1912,3209,5687,0.040994,0.959006,0.041893,0.958107
semaines,1710-1720,1750-1760,0.379587,0.620413,390,466,5683,0.021653,0.978347,0.029281,0.970719
veuille,1710-1720,1750-1760,0.377638,0.622362,477,874,5702,0.015944,0.984056,0.023659,0.976341
croient,1710-1720,1740-1750,0.374465,0.625535,253,1077,5704,0.014413,0.985587,0.01798,0.98202
vinrent,1700-1710,1730-1740,0.374188,0.625812,387,950,5685,0.017756,0.982244,0.023245,0.976755
portoient,1710-1720,1789-1802,0.37004,0.62996,366,910,5689,0.028693,0.971307,0.019308,0.980692
trouveroit,1720-1730,1770-1780,0.368917,0.631083,461,1430,5696,0.035,0.965,0.02077,0.97923
semblent,1710-1720,1789-1802,0.368631,0.631369,342,2155,5710,0.015525,0.984475,0.02252,0.97748
rendoit,1720-1730,1730-1740,0.365171,0.634829,471,1102,5700,0.027137,0.972863,0.020017,0.979983
ferions,1710-1720,1789-1802,0.360389,0.639611,171,674,5667,0.046,0.954,0.035287,0.964713
quarante,1700-1710,1750-1760,0.359447,0.640553,1713,2922,5707,0.020402,0.979598,0.039887,0.960113
voulois,1710-1720,1740-1750,0.358205,0.641795,248,854,5690,0.068593,0.931407,0.028181,0.971819
avions,1710-1720,1730-1740,0.358147,0.641853,812,940,5708,0.019409,0.980591,0.026538,0.973462
alloit,1710-1720,1750-1760,0.356533,0.643467,663,1697,5702,0.023257,0.976743,0.019386,0.980614
aurois,1710-1720,1720-1730,0.356487,0.643513,167,183,5703,0.034686,0.965314,0.024884,0.975116
allait,1740-1750,1760-1770,0.35601,0.64399,165,414,5641,0.01602,0.98398,0.017375,0.982625
aurions,1720-1730,1770-1780,0.355402,0.644598,481,821,5696,0.022277,0.977723,0.034951,0.965049
voudront,1700-1710,1750-1760,0.355047,0.644953,311,574,5694,0.017769,0.982231,0.023095,0.976905
pouvois,1710-1720,1720-1730,0.354652,0.645348,260,477,5691,0.031966,0.968034,0.025501,0.974499
sauroit,1700-1710,1740-1750,0.35257,0.64743,170,456,5675,0.033678,0.966322,0.035824,0.964176
sera,1710-1720,1720-1730,0.352464,0.647536,2361,1506,5717,0.015324,0.984676,0.016593,0.983407
falloit,1710-1720,1720-1730,0.352082,0.647918,1064,1935,5712,0.051912,0.948088,0.023104,0.976896
fauroit,1700-1710,1789-1802,0.351182,0.648818,506,1225,5672,0.040729,0.959271,0.060408,0.939592
étiez,1710-1720,1780-1789,0.350816,0.649184,248,1227,5685,0.019703,0.980297,0.02556,0.97444
paroissoit,1710-1720,1720-1730,0.349887,0.650113,348,449,5701,0.016656,0.983344,0.018467,0.981533
trouvèrent,1710-1720,1730-1740,0.347839,0.652161,239,383,5682,0.030664,0.969336,0.021416,0.978584
ferez,1710-1720,1740-1750,0.34569,0.65431,912,1272,5699,0.022909,0.977091,0.028067,0.971933
prenoit,1700-1710,1789-1802,0.345013,0.654987,438,1133,5696,0.036889,0.963111,0.02145,0.97855
décembre,1700-1710,1710-1720,0.342354,0.657646,417,711,5690,0.034769,0.965231,0.075343,0.924657
venait,1740-1750,1750-1760,0.341963,0.658037,158,287,5640,0.018561,0.981439,0.018797,0.981203
seroit,1710-1720,1720-1730,0.340121,0.659879,1610,1502,5709,0.036403,0.963597,0.022675,0.977325
servoit,1720-1730,1740-1750,0.339875,0.660125,553,804,5694,0.027438,0.972562,0.028617,0.971383
faudroit,1700-1710,1710-1720,0.336057,0.663943,741,1017,5707,0.027341,0.972659,0.021004,0.978996
pourrai,1720-1730,1770-1780,0.333903,0.666097,181,956,5682,0.016741,0.983259,0.027174,0.972826
aisé,1700-1710,1780-1789,0.333531,0.666469,705,2852,5709,0.026044,0.973956,0.035082,0.964918
venoient,1700-1710,1740-1750,0.331178,0.668822,333,1373,5691,0.035378,0.964622,0.024808,0.975192
aient,1700-1710,1720-1730,0.330739,0.669261,328,804,5711,0.029955,0.970045,0.029982,0.970018
treize,1710-1720,1760-1770,0.329532,0.670468,603,1112,5699,0.028756,0.971244,0.034799,0.965201
audit,1700-1710,1710-1720,0.329096,0.670904,1422,4007,5683,0.029867,0.970133,0.032775,0.967225
avais,1750-1760,1760-1770,0.326055,0.673945,73,257,5649,0.028597,0.971403,0.018002,0.981998
retira,1740-1750,1770-1780,0.325091,0.674909,895,1267,5686,0.017666,0.982334,0.023913,0.976087
feroient,1700-1710,1710-1720,0.324942,0.675058,1144,3031,5705,0.032536,0.967464,0.024133,0.975867
ferois,1700-1710,1730-1740,0.324863,0.675137,443,833,5688,0.036905,0.963095,0.025975,0.974025
serait,1720-1730,1770-1780,0.324573,0.675427,829,2562,5674,0.023035,0.976965,0.024784,0.975216
quatrième,1710-1720,1720-1730,0.324289,0.675711,719,763,5714,0.010711,0.989289,0.023467,0.976533
août,1720-1730,1730-1740,0.323602,0.676398,595,1690,5700,0.017859,0.982141,0.054408,0.945592
devez,1700-1710,1720-1730,0.322776,0.677224,568,598,5701,0.017964,0.982036,0.027399,0.972601
devois,1700-1710,1710-1720,0.320314,0.679686,287,181,5672,0.036961,0.963039,0.030552,0.969448
trente,1710-1720,1720-1730,0.319825,0.680175,2665,3052,5715,0.016604,0.983396,0.038086,0.961914
février,1700-1710,1730-1740,0.318438,0.681562,674,1922,5690,0.037858,0.962142,0.065101,0.934899
revint,1710-1720,1740-1750,0.318413,0.681587,461,1151,5689,0.015498,0.984502,0.018009,0.981991
seront,1710-1720,1720-1730,0.317792,0.682208,1232,738,5702,0.019128,0.980872,0.024603,0.975397
trouveront,1700-1710,1710-1720,0.31478,0.68522,354,659,5697,0.024775,0.975225,0.025896,0.974104
serai,1700-1710,1720-1730,0.312884,0.687116,218,200,5673,0.021974,0.978026,0.023098,0.976902
purent,1710-1720,1730-1740,0.308707,0.691293,362,675,5686,0.037674,0.962326,0.026623,0.973377
serais,1750-1760,1770-1780,0.307911,0.692089,187,459,5544,0.027338,0.972662,0.025868,0.974132
voulurent,1700-1710,1750-1760,0.307477,0.692523,267,566,5688,0.030929,0.969071,0.024089,0.975911
voudroit,1700-1710,1710-1720,0.307058,0.692942,432,538,5703,0.02436,0.97564,0.019333,0.980667
octobre,1720-1730,1789-1802,0.306164,0.693836,781,4631,5690,0.032324,0.967676,0.065328,0.934672
aviez,1720-1730,1730-1740,0.305241,0.694759,234,713,5695,0.015593,0.984407,0.02164,0.97836
laissoit,1710-1720,1750-1760,0.305192,0.694808,198,600,5684,0.028131,0.971869,0.025049,0.974951
