word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
veau,1720-1730,1789-1802,0.986842,0.013158,4686,1418,5692
vivant,1760-1770,1780-1789,0.973834,0.026166,1840,2499,5712
propos,1730-1740,1789-1802,0.946179,0.053821,4578,7478,5718
nullement,1740-1750,1750-1760,0.907625,0.092375,658,838,5707
chef,1720-1730,1760-1770,0.894325,0.105675,2998,4932,5713
exercice,1710-1720,1750-1760,0.888353,0.111647,593,698,5707
généraux,1760-1770,1789-1802,0.888045,0.111955,3918,11426,5712
exprès,1710-1720,1789-1802,0.883307,0.116693,771,1203,5696
pouvoir,1730-1740,1789-1802,0.878951,0.121049,9898,30518,5718
garde,1780-1789,1789-1802,0.872289,0.127711,12682,14711,5717
trompe,1710-1720,1789-1802,0.863022,0.136978,752,1697,5709
miens,1710-1720,1780-1789,0.862665,0.137335,259,1130,5684
vent,1750-1760,1760-1770,0.860495,0.139505,3932,6235,5715
passant,1720-1730,1770-1780,0.84897,0.15103,676,1784,5710
témoin,1720-1730,1789-1802,0.845821,0.154179,583,3047,5711
hautes,1720-1730,1789-1802,0.845238,0.154762,841,1548,5698
allant,1700-1710,1760-1770,0.844524,0.155476,317,3778,5700
bourse,1720-1730,1750-1760,0.844245,0.155755,435,451,5687
entiere,1750-1760,1789-1802,0.844023,0.155977,1452,1584,5694
marché,1730-1740,1770-1780,0.842631,0.157369,848,4074,5707
vivement,1780-1789,1789-1802,0.841422,0.158578,3419,3300,5710
ajoutez,1720-1730,1780-1789,0.840793,0.159207,270,1016,5691
contenu,1700-1710,1789-1802,0.837485,0.162515,539,876,5697
testament,1760-1770,1780-1789,0.832889,0.167111,1391,983,5691
reconnoissance,1710-1720,1740-1750,0.830739,0.169261,1213,3539,5708
romaine,1730-1740,1770-1780,0.830632,0.169368,3180,2716,5706
icelle,1730-1740,1789-1802,0.830192,0.169808,320,453,5656
livre,1710-1720,1760-1770,0.829866,0.170134,6655,16042,5718
nouveaux,1740-1750,1750-1760,0.828489,0.171511,3467,4448,5718
choisit,1720-1730,1760-1770,0.828143,0.171857,361,859,5695
table,1720-1730,1780-1789,0.825151,0.174849,2771,9642,5720
campagne,1730-1740,1740-1750,0.822863,0.177137,3433,2530,5711
atteint,1710-1720,1770-1780,0.821067,0.178933,207,1095,5700
accoutumé,1710-1720,1750-1760,0.820723,0.179277,695,593,5700
attendu,1740-1750,1760-1770,0.818823,0.181177,1093,1968,5705
lever,1710-1720,1720-1730,0.814862,0.185138,1273,1328,5711
oeuvre,1730-1740,1760-1770,0.813503,0.186497,762,1085,5700
toit,1760-1770,1770-1780,0.81332,0.18668,3603,4921,5703
étrangères,1750-1760,1789-1802,0.811312,0.188688,905,3333,5708
prison,1710-1720,1730-1740,0.809662,0.190338,1004,1242,5710
courir,1710-1720,1740-1750,0.806629,0.193371,786,1409,5709
pareil,1730-1740,1750-1760,0.806189,0.193811,1794,2576,5717
favori,1780-1789,1789-1802,0.80607,0.19393,1058,910,5691
cire,1720-1730,1789-1802,0.805337,0.194663,1070,1168,5696
course,1760-1770,1780-1789,0.805149,0.194851,790,1536,5702
communes,1770-1780,1789-1802,0.803862,0.196138,3232,5192,5709
pourvu,1720-1730,1770-1780,0.802691,0.197309,856,4272,5708
loisir,1740-1750,1789-1802,0.80186,0.19814,509,793,5693
peur,1710-1720,1770-1780,0.79826,0.20174,2266,5473,5714
comptant,1710-1720,1730-1740,0.797983,0.202017,758,696,5688
oubli,1720-1730,1770-1780,0.797504,0.202496,105,452,5702
veille,1740-1750,1770-1780,0.794517,0.205483,1115,2637,5708
voulons,1710-1720,1730-1740,0.793618,0.206382,2228,1042,5706
senti,1710-1720,1750-1760,0.793391,0.206609,395,1212,5712
mariages,1750-1760,1770-1780,0.793301,0.206699,514,1539,5689
divin,1720-1730,1750-1760,0.792194,0.207806,907,1343,5705
voisin,1710-1720,1740-1750,0.792027,0.207973,487,902,5703
faciliter,1710-1720,1780-1789,0.789908,0.210092,404,1455,5685
parvenu,1740-1750,1750-1760,0.786433,0.213567,520,870,5706
cour,1720-1730,1780-1789,0.786005,0.213995,9446,26889,5717
finir,1720-1730,1730-1740,0.780777,0.219223,623,983,5713
innocent,1700-1710,1720-1730,0.780183,0.219817,380,395,5700
savoir,1710-1720,1750-1760,0.779504,0.220496,3228,5605,5717
marqué,1770-1780,1789-1802,0.777856,0.222144,2156,1584,5713
prévôt,1710-1720,1760-1770,0.777762,0.222238,711,484,5672
éleva,1730-1740,1740-1750,0.777317,0.222683,192,130,5685
revenant,1730-1740,1760-1770,0.773789,0.226211,653,508,5694
jésuites,1710-1720,1780-1789,0.773317,0.226683,407,721,5636
charger,1710-1720,1789-1802,0.771857,0.228143,887,2251,5705
pareils,1700-1710,1710-1720,0.770603,0.229397,282,502,5706
quartier,1710-1720,1720-1730,0.770293,0.229707,1539,2090,5700
mets,1720-1730,1770-1780,0.766989,0.233011,545,1597,5708
autant,1710-1720,1740-1750,0.7667,0.2333,5275,8836,5717
arrivant,1760-1770,1770-1780,0.766516,0.233484,590,707,5688
accord,1750-1760,1760-1770,0.765428,0.234572,862,883,5712
découverte,1740-1750,1760-1770,0.765424,0.234576,1523,1925,5705
repos,1710-1720,1720-1730,0.764917,0.235083,1522,1495,5716
raconter,1710-1720,1750-1760,0.764747,0.235253,208,510,5684
supposé,1710-1720,1780-1789,0.764635,0.235365,287,1009,5700
inconnu,1710-1720,1750-1760,0.763457,0.236543,333,709,5709
sainteté,1710-1720,1740-1750,0.763379,0.236621,462,393,5673
composer,1710-1720,1780-1789,0.763298,0.236702,349,1337,5704
changé,1730-1740,1780-1789,0.762538,0.237462,1909,2669,5707
verront,1710-1720,1740-1750,0.761569,0.238431,632,515,5692
tournois,1750-1760,1780-1789,0.760992,0.239008,795,1825,5674
continua,1710-1720,1730-1740,0.76098,0.23902,419,1260,5690
prudent,1760-1770,1770-1780,0.758403,0.241597,620,909,5699
quelconques,1710-1720,1789-1802,0.757745,0.242255,836,835,5641
recueillir,1720-1730,1750-1760,0.757635,0.242365,234,589,5695
cadet,1760-1770,1770-1780,0.757521,0.242479,1292,567,5667
précédente,1710-1720,1730-1740,0.757422,0.242578,175,683,5700
monnoie,1770-1780,1789-1802,0.757259,0.242741,3510,7673,5685
soulagement,1730-1740,1780-1789,0.756322,0.243678,235,1258,5688
transports,1780-1789,1789-1802,0.755991,0.244009,1979,1864,5699
pareillement,1710-1720,1770-1780,0.754975,0.245025,1270,2393,5687
chrétienne,1710-1720,1780-1789,0.753826,0.246174,320,1295,5688
https,1780-1789,1789-1802,0.753252,0.246748,733,1554,27
vons,1730-1740,1789-1802,0.753067,0.246933,318,840,5672
simplement,1720-1730,1780-1789,0.751361,0.248639,542,1926,5711
gardes,1710-1720,1750-1760,0.750434,0.249566,2008,2931,5704
content,1730-1740,1780-1789,0.750251,0.249749,1529,2991,5711
tiens,1740-1750,1780-1789,0.749785,0.250215,802,2546,5704
proche,1720-1730,1789-1802,0.749775,0.250225,1301,1361,5705
extraordinaire,1710-1720,1789-1802,0.749058,0.250942,780,3419,5715
jugez,1720-1730,1730-1740,0.74864,0.25136,308,613,5688
canons,1710-1720,1740-1750,0.748442,0.251558,325,998,5672
tenu,1720-1730,1789-1802,0.74842,0.25158,1502,4121,5711
nier,1710-1720,1780-1789,0.748359,0.251641,536,2542,5706
logement,1710-1720,1720-1730,0.748325,0.251675,289,338,5675
haute,1740-1750,1760-1770,0.747523,0.252477,2803,3426,5714
entretien,1770-1780,1789-1802,0.745564,0.254436,1492,1615,5708
engagement,1710-1720,1720-1730,0.745445,0.254555,230,184,5693
tienne,1720-1730,1789-1802,0.745111,0.254889,288,907,5701
opposition,1710-1720,1750-1760,0.744098,0.255902,366,685,5706
racine,1730-1740,1789-1802,0.743575,0.256425,797,2685,5699
prompt,1740-1750,1760-1770,0.743112,0.256888,539,864,5703
propose,1750-1760,1789-1802,0.742736,0.257264,2144,4537,5712
curiosité,1750-1760,1760-1770,0.742629,0.257371,894,1096,5709
envie,1730-1740,1780-1789,0.742543,0.257457,1193,2623,5713
sacrifices,1760-1770,1789-1802,0.741676,0.258324,785,2412,5701
garder,1710-1720,1780-1789,0.741172,0.258828,1957,4826,5715
devoir,1700-1710,1760-1770,0.741031,0.258969,2435,8730,5716
compter,1710-1720,1730-1740,0.740786,0.259214,1313,1930,5714
dommage,1730-1740,1789-1802,0.739768,0.260232,504,964,5699
toucher,1720-1730,1730-1740,0.73858,0.26142,689,1030,5706
fondre,1740-1750,1750-1760,0.738444,0.261556,473,862,5700
juré,1710-1720,1720-1730,0.736949,0.263051,399,217,5686
puis,1700-1710,1710-1720,0.736305,0.263695,6757,8354,5717
apporte,1720-1730,1730-1740,0.736278,0.263722,382,467,5712
hiver,1720-1730,1730-1740,0.735661,0.264339,163,123,5700
visite,1720-1730,1730-1740,0.734978,0.265022,399,899,5682
consul,1730-1740,1780-1789,0.734813,0.265187,407,876,5671
suffisante,1710-1720,1730-1740,0.734731,0.265269,348,410,5690
loge,1710-1720,1720-1730,0.734713,0.265287,261,207,5688
demain,1730-1740,1770-1780,0.734433,0.265567,796,1960,5694
moyennant,1700-1710,1780-1789,0.734039,0.265961,205,1302,5680
prononcer,1710-1720,1780-1789,0.7339,0.2661,325,2375,5708
ajouta,1720-1730,1750-1760,0.733874,0.266126,371,1009,5689
foixante,1720-1730,1740-1750,0.733824,0.266176,529,532,5645
voyant,1730-1740,1740-1750,0.732942,0.267058,3009,3024,5714
capitaine,1720-1730,1760-1770,0.732757,0.267243,2816,13112,5702
philippe,1720-1730,1760-1770,0.732707,0.267293,3941,2390,5701
lire,1730-1740,1740-1750,0.731638,0.268362,2343,2281,5713
joué,1770-1780,1789-1802,0.730868,0.269132,1025,700,5677
venise,1740-1750,1760-1770,0.730451,0.269549,505,1585,5683
convertir,1710-1720,1750-1760,0.729568,0.270432,212,352,5685
argument,1730-1740,1789-1802,0.729508,0.270492,558,640,5695
bonnet,1750-1760,1760-1770,0.72939,0.27061,382,551,5686
dresser,1760-1770,1789-1802,0.728519,0.271481,656,712,5690
prévu,1720-1730,1750-1760,0.727256,0.272744,122,477,5691
sage,1740-1750,1750-1760,0.727185,0.272815,2910,4323,5717
ténèbres,1710-1720,1750-1760,0.726571,0.273429,115,375,5686
domestique,1720-1730,1789-1802,0.726347,0.273653,247,2137,5695
cardinal,1720-1730,1760-1770,0.726157,0.273843,2863,1853,5695
prise,1710-1720,1730-1740,0.725991,0.274009,1529,2862,5715
clair,1710-1720,1770-1780,0.724609,0.275391,889,3377,5709
prêter,1720-1730,1740-1750,0.724302,0.275698,462,1165,5708
compté,1720-1730,1750-1760,0.724139,0.275861,340,485,5690
avoue,1770-1780,1789-1802,0.723339,0.276661,1026,971,5709
important,1720-1730,1740-1750,0.722037,0.277963,638,1058,5714
suivans,1740-1750,1760-1770,0.721694,0.278306,553,871,5696
critiques,1770-1780,1789-1802,0.721625,0.278375,1894,996,5706
inutile,1750-1760,1789-1802,0.720684,0.279316,2935,4366,5716
