word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree,cosine_distance_camembert,cosine_similarity_camembert,cosine_distance_dalembert,cosine_similarity_dalembert
traces,1750-1760,1770-1780,0.825958,0.174042,729,1582,5707,0.013377,0.986623,0.02063,0.97937
por,1720-1730,1780-1789,0.825866,0.174134,1664,2812,5698,0.022796,0.977204,0.035372,0.964628
voiture,1710-1720,1789-1802,0.824872,0.175128,519,3077,5687,0.053884,0.946116,0.063517,0.936483
ban,1700-1710,1710-1720,0.824748,0.175252,271,443,5675,0.011691,0.988309,0.021963,0.978037
hôtel,1750-1760,1780-1789,0.824719,0.175281,587,1246,5704,0.010636,0.989364,0.025942,0.974058
cer,1700-1710,1760-1770,0.824578,0.175422,674,2251,5706,0.012187,0.987813,0.018352,0.981648
abandon,1710-1720,1730-1740,0.82433,0.17567,165,110,5688,0.013004,0.986996,0.019414,0.980586
surplus,1750-1760,1780-1789,0.824051,0.175949,1214,3202,5693,0.014557,0.985443,0.024772,0.975228
militaires,1770-1780,1789-1802,0.823878,0.176122,2396,4206,5688,0.016145,0.983855,0.01628,0.98372
futur,1700-1710,1740-1750,0.823783,0.176217,87,209,5676,0.010682,0.989318,0.019227,0.980773
troi,1760-1770,1789-1802,0.82332,0.17668,441,707,5672,0.015633,0.984367,0.031961,0.968039
