word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
sortit,1720-1730,1789-1802,0.472512,0.527488,465,1856,5691
obtint,1700-1710,1710-1720,0.471288,0.528712,259,317,5685
nulle,1700-1710,1750-1760,0.469615,0.530385,627,1733,5706
durant,1740-1750,1780-1789,0.468508,0.531492,1537,4087,5697
aurez,1700-1710,1760-1770,0.467775,0.532225,904,2765,5704
soeurs,1720-1730,1760-1770,0.467729,0.532271,390,671,5672
gris,1740-1750,1760-1770,0.467679,0.532321,600,1445,5681
etoit,1740-1750,1750-1760,0.467212,0.532788,1542,1810,5698
refusa,1710-1720,1770-1780,0.467103,0.532897,177,866,5690
prenant,1730-1740,1740-1750,0.465243,0.534757,1548,1783,5712
ferait,1730-1740,1780-1789,0.465158,0.534842,276,2923,5686
jugera,1720-1730,1730-1740,0.465007,0.534993,217,285,5688
ferai,1700-1710,1720-1730,0.464447,0.535553,1172,989,5712
sortent,1730-1740,1789-1802,0.464247,0.535753,254,937,5689
freres,1710-1720,1789-1802,0.463081,0.536919,818,1737,5685
pape,1700-1710,1730-1740,0.462226,0.537774,1579,6611,5693
colonel,1720-1730,1760-1770,0.461198,0.538802,821,1402,5675
enfants,1720-1730,1760-1770,0.4609,0.5391,918,3245,5678
instant,1760-1770,1789-1802,0.460839,0.539161,2746,6330,5714
murs,1700-1710,1710-1720,0.460693,0.539307,261,736,5708
rester,1740-1750,1770-1780,0.459767,0.540233,665,1928,5705
accorde,1700-1710,1710-1720,0.459656,0.540344,257,350,5711
imaginer,1700-1710,1770-1780,0.459527,0.540473,282,1474,5710
résolu,1740-1750,1789-1802,0.459505,0.540495,1371,1376,5698
arrivoit,1710-1720,1730-1740,0.459393,0.540607,212,469,5685
nuages,1730-1740,1750-1760,0.459147,0.540853,303,456,5699
servit,1710-1720,1720-1730,0.459124,0.540876,460,601,5690
tombent,1760-1770,1770-1780,0.45901,0.54099,1267,1898,5705
derniere,1710-1720,1720-1730,0.458932,0.541068,1209,1514,5703
épouse,1710-1720,1780-1789,0.45891,0.54109,556,1948,5697
favoit,1740-1750,1750-1760,0.458819,0.541181,318,400,5643
perdent,1770-1780,1789-1802,0.458617,0.541383,1346,1030,5702
heureuse,1730-1740,1760-1770,0.458563,0.541437,1361,2481,5711
boire,1700-1710,1710-1720,0.458087,0.541913,939,1238,5702
permettoit,1700-1710,1710-1720,0.457548,0.542452,110,112,5688
entendent,1750-1760,1789-1802,0.457545,0.542455,264,339,5692
ayez,1710-1720,1760-1770,0.457262,0.542738,678,948,5700
sembloient,1700-1710,1720-1730,0.457246,0.542754,92,148,5674
pensent,1710-1720,1760-1770,0.456738,0.543262,181,904,5699
trois,1700-1710,1710-1720,0.456205,0.543795,12821,14431,5720
ayons,1730-1740,1780-1789,0.45614,0.54386,257,768,5702
passa,1710-1720,1740-1750,0.455171,0.544829,865,1447,5700
tenoit,1730-1740,1780-1789,0.454949,0.545051,1595,3549,5696
éroit,1700-1710,1710-1720,0.454903,0.545097,223,206,5680
eurent,1730-1740,1740-1750,0.454316,0.545684,2062,2065,5704
desirs,1720-1730,1770-1780,0.454209,0.545791,409,2289,5696
cherchoit,1700-1710,1710-1720,0.454208,0.545792,191,153,5691
etoient,1710-1720,1730-1740,0.453698,0.546302,476,1001,5679
résolut,1740-1750,1780-1789,0.453357,0.546643,766,1137,5669
espérer,1710-1720,1740-1750,0.453123,0.546877,443,1082,5708
souffert,1700-1710,1720-1730,0.451557,0.548443,290,306,5700
refuser,1740-1750,1789-1802,0.451325,0.548675,797,2232,5699
chargea,1730-1740,1750-1760,0.4512,0.5488,623,468,5680
donnerai,1700-1710,1720-1730,0.450875,0.549125,182,165,5679
péril,1700-1710,1710-1720,0.450473,0.549527,317,519,5692
voudra,1700-1710,1789-1802,0.449901,0.550099,575,2088,5713
pria,1720-1730,1740-1750,0.449883,0.550117,502,940,5680
partit,1710-1720,1750-1760,0.448341,0.551659,370,720,5690
etrangers,1710-1720,1740-1750,0.448214,0.551786,814,1530,5684
montré,1750-1760,1789-1802,0.447765,0.552235,867,2206,5702
donneroit,1700-1710,1710-1720,0.447343,0.552657,209,245,5695
parloit,1710-1720,1740-1750,0.446903,0.553097,344,815,5695
fermé,1700-1710,1730-1740,0.446879,0.553121,187,370,5693
voudrois,1700-1710,1710-1720,0.445874,0.554126,616,693,5700
remit,1710-1720,1740-1750,0.44577,0.55423,234,862,5692
bleu,1730-1740,1789-1802,0.444885,0.555115,340,1464,5678
onze,1720-1730,1730-1740,0.444854,0.555146,684,751,5701
voudrez,1760-1770,1789-1802,0.442766,0.557234,434,627,5679
lont,1700-1710,1789-1802,0.441924,0.558076,633,1146,5676
lesquels,1710-1720,1720-1730,0.441487,0.558513,3517,3548,5717
sembloit,1710-1720,1730-1740,0.440655,0.559345,405,1119,5697
retourner,1730-1740,1740-1750,0.440283,0.559717,1269,2280,5705
savoit,1700-1710,1730-1740,0.44021,0.55979,180,213,5671
craignoit,1700-1710,1770-1780,0.439892,0.560108,185,880,5686
desquelles,1700-1710,1710-1720,0.439465,0.560535,425,705,5695
vais,1710-1720,1750-1760,0.439261,0.560739,2381,3694,5713
aimée,1700-1710,1710-1720,0.438818,0.561182,141,153,5683
crut,1700-1710,1720-1730,0.437782,0.562218,698,801,5698
reçue,1710-1720,1720-1730,0.4375,0.5625,257,215,5701
crains,1700-1710,1760-1770,0.436898,0.563102,590,1638,5708
présenta,1710-1720,1720-1730,0.436235,0.563765,247,208,5683
ôtoient,1730-1740,1780-1789,0.436096,0.563904,126,257,5617
croyoit,1710-1720,1730-1740,0.435524,0.564476,380,1213,5700
seize,1720-1730,1780-1789,0.435345,0.564655,819,2307,5693
accordée,1700-1710,1710-1720,0.435224,0.564776,173,319,5699
