rank,word,drift_1789,drift_moyen
1,sinon,0.9864,0.7857
2,reflexion,0.9802,0.6551
3,pleinement,0.9740,0.6246
4,secher,0.9651,0.7400
5,apelle,0.9608,0.5306
6,aujourd,0.9552,0.8208
7,sor,0.9286,0.8131
8,toutefois,0.9254,0.7603
9,fonc,0.9133,0.7494
10,favorablement,0.9072,0.7917
11,gentils,0.9043,0.7404
12,falu,0.9011,0.7171
13,l'avenir,0.9004,0.8387
14,fiscal,0.8902,0.6125
15,tâche,0.8862,0.6878
16,sup,0.8856,0.7272
17,caufe,0.8846,0.6053
18,king,0.8826,0.6299
19,d'aussi,0.8818,0.8352
20,barre,0.8805,0.6257
21,gent,0.8762,0.7661
22,victor,0.8762,0.5479
23,teur,0.8742,0.8128
24,naire,0.8742,0.7795
25,obli,0.8713,0.7306
26,veau,0.8706,0.7201
27,apris,0.8697,0.5351
28,surquoi,0.8664,0.7823
29,accessible,0.8655,0.7410
30,l'ef,0.8636,0.8388
31,thou,0.8622,0.5627
32,l'experience,0.8619,0.7885
33,poli,0.8619,0.6883
34,présents,0.8612,0.6663
35,sieurs,0.8580,0.7891
36,l'ordinaire,0.8561,0.8095
37,d'autorité,0.8527,0.7641
38,désormais,0.8518,0.6893
39,nat,0.8504,0.6476
40,prov,0.8502,0.6596
41,pous,0.8500,0.8750
42,tranquile,0.8460,0.5544
43,descartes,0.8425,0.6551
44,etranger,0.8417,0.6696
45,future,0.8412,0.7768
46,tacher,0.8410,0.7701
47,aujour,0.8399,0.8157
48,l'est,0.8398,0.7610
49,tremblement,0.8397,0.7112
50,auf,0.8377,0.7275
51,neurs,0.8354,0.7850
52,frappant,0.8337,0.6773
53,hui,0.8335,0.7658
54,l'ob,0.8334,0.7676
55,lors,0.8333,0.8379
56,soupçon,0.8325,0.7172
57,vivante,0.8312,0.7864
58,xlix,0.8310,0.7440
59,subitement,0.8300,0.7027
60,vilaine,0.8278,0.6847
61,vj,0.8278,0.7285
62,présens,0.8261,0.6818
63,qu'autrement,0.8254,0.7075
64,d'espace,0.8247,0.6943
65,volontiers,0.8241,0.7945
66,pau,0.8225,0.7721
67,vieux,0.8211,0.7796
68,leger,0.8209,0.6514
69,oire,0.8202,0.6114
70,leux,0.8199,0.7842
71,contrefaire,0.8186,0.6721
72,champ,0.8184,0.7708
