rank,word,drift_global,drift_moyen
205,d'esprits,0.8406,0.5470
206,ainii,0.8402,0.7670
207,expres,0.8402,0.6506
208,effe,0.8399,0.4470
209,d'homme,0.8398,0.8111
210,remplacer,0.8398,0.6884
211,d'af,0.8388,0.7294
212,miner,0.8386,0.6250
213,pru,0.8382,0.6911
214,gement,0.8380,0.7319
215,infi,0.8379,0.6600
216,fim,0.8377,0.6620
217,pille,0.8372,0.6282
218,capi,0.8366,0.7015
219,vilaine,0.8354,0.6847
220,puissamment,0.8350,0.6704
221,particu,0.8348,0.7164
222,calife,0.8346,0.8185
223,dimi,0.8343,0.6382
224,volon,0.8337,0.6867
225,gent,0.8337,0.7661
226,mmne,0.8334,0.7157
227,primer,0.8334,0.6430
228,couple,0.8330,0.5828
229,l'inégalité,0.8325,0.7767
230,tordre,0.8324,0.7149
231,trans,0.8324,0.6309
232,em,0.8323,0.7359
233,offi,0.8321,0.5557
234,sub,0.8321,0.6298
235,fonc,0.8321,0.7494
236,chan,0.8318,0.7591
237,tan,0.8316,0.7274
238,duit,0.8315,0.6779
239,exi,0.8315,0.6355
240,cous,0.8314,0.6760
241,quoy,0.8314,0.6061
242,op,0.8312,0.7022
243,rentre,0.8312,0.7382
244,dement,0.8310,0.6215
245,griffe,0.8308,0.6754
246,fiance,0.8307,0.6021
247,amene,0.8306,0.5292
248,fice,0.8305,0.6547
249,gres,0.8303,0.6299
250,éloi,0.8299,0.6913
251,én,0.8299,0.7625
252,mira,0.8297,0.6416
253,qu'ensuite,0.8296,0.6467
254,stable,0.8291,0.5920
255,taux,0.8288,0.5312
256,fur,0.8287,0.6914
257,voeu,0.8286,0.4506
258,ciens,0.8284,0.7339
259,qu'outre,0.8278,0.6433
260,gué,0.8276,0.7250
261,gêne,0.8276,0.5130
262,rope,0.8274,0.5966
263,rain,0.8273,0.7034
264,és,0.8272,0.5174
265,l'agrément,0.8271,0.7536
266,oeuvre,0.8267,0.6867
267,élement,0.8266,0.7053
268,s'ap,0.8263,0.6985
269,reporter,0.8259,0.5477
270,communi,0.8257,0.6490
271,sieurs,0.8254,0.7891
272,leux,0.8253,0.7842
273,fleuri,0.8253,0.5398
274,repre,0.8249,0.7029
275,oire,0.8244,0.6114
276,tain,0.8240,0.6637
277,quille,0.8236,0.5880
278,pouvoir,0.8235,0.6846
279,cir,0.8233,0.6784
280,lue,0.8232,0.5561
281,yvoire,0.8227,0.6712
282,indi,0.8222,0.6764
283,mainte,0.8221,0.7248
284,pré,0.8221,0.7520
285,tein,0.8218,0.5618
286,nus,0.8214,0.6545
287,sûrement,0.8203,0.7745
288,dés,0.8198,0.6511
289,lence,0.8198,0.6928
290,boileau,0.8197,0.5514
291,vantage,0.8196,0.7274
292,bra,0.8196,0.6170
293,volontaires,0.8189,0.5526
294,foret,0.8189,0.5612
295,d'abus,0.8186,0.5498
296,tonner,0.8184,0.6861
297,couver,0.8182,0.6046
298,malheureusement,0.8180,0.5777
299,arrivez,0.8179,0.4779
300,l'ex,0.8178,0.7055
301,dé,0.8177,0.7689
302,dj,0.8176,0.5572
303,nal,0.8174,0.7039
304,d'âge,0.8170,0.7865
305,neanmoins,0.8169,0.6546
